type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V0,0,I0020,0,0,0,2
V0,0,I0021,0,10,0,4
V0,0,I0022,8,0,0,5
V0,0,I0023,0,0,4,2
V0,0,I0024,0,0,8,2
V0,0,I0000,12,0,0,2
V0,0,I0001,12,8,0,0
V0,0,I0002,12,0,6,2
V0,0,I0003,0,10,8,3
V0,0,I0004,0,12,8,3
V0,0,I0005,8,0,8,2
V0,0,I0006,10,0,8,2
V0,0,I0007,0,0,12,5
V0,1,I0025,0,0,0,2
V0,1,I0026,0,10,0,4
V0,1,I0027,8,0,0,5
V0,1,I0028,0,0,4,2
V0,1,I0029,0,0,8,2
V0,1,I0008,12,0,0,2
V0,1,I0009,12,8,0,0
V0,1,I0010,12,0,6,2
V0,1,I0011,0,10,8,3
V0,1,I0012,0,12,8,3
V0,1,I0013,8,0,8,2
V0,1,I0014,10,0,8,2
V0,1,I0015,0,0,12,5
V0,2,I0030,0,0,0,2
V0,2,I0031,0,10,0,4
V0,2,I0032,8,0,0,5
V0,2,I0033,0,0,4,2
V0,2,I0034,0,0,8,2
V0,2,I0016,12,0,0,2
V0,2,I0017,12,8,0,0
V0,2,I0018,12,0,6,2
V0,2,I0019,0,10,8,3
V0,3,I0035,0,0,0,2
V0,3,I0036,0,10,0,4
V0,3,I0037,8,0,0,5
V0,3,I0038,0,0,4,2
V0,3,I0039,0,0,8,2
V0,4,I0040,0,0,0,2
V0,4,I0041,0,10,0,4
V0,4,I0042,8,0,0,5
V0,4,I0043,0,0,4,2
V0,4,I0044,0,0,8,2
V0,5,I0045,0,0,0,2
V0,5,I0046,0,10,0,4
V0,5,I0047,8,0,0,5
V0,5,I0048,0,0,4,2
V0,5,I0049,0,0,8,2
V0,6,I0050,0,0,0,2
V0,6,I0051,0,10,0,4
V0,6,I0052,8,0,0,5
V0,6,I0053,0,0,4,2
V0,6,I0054,0,0,8,2
V0,7,I0055,0,0,0,2
V0,7,I0056,0,10,0,4
V0,7,I0057,8,0,0,5
V0,7,I0058,0,0,4,2
V0,7,I0059,0,0,8,2
V0,8,I0060,0,0,0,2
V0,8,I0061,0,10,0,4
V0,8,I0062,8,0,0,5
V0,8,I0063,0,0,4,2
V0,8,I0064,0,0,8,2
V0,9,I0065,0,0,0,2
V0,9,I0066,0,10,0,4
V0,9,I0067,8,0,0,5
V0,9,I0068,0,0,4,2
V0,9,I0069,0,0,8,2
