type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V0,0,I0050,0,0,0,1
V0,0,I0051,0,0,20,1
V0,0,I0052,0,0,40,3
V0,0,I0053,20,0,40,3
V0,0,I0054,32,0,0,3
V0,1,I0055,0,0,0,1
V0,1,I0056,0,0,20,1
V0,1,I0057,0,0,40,3
V0,1,I0058,20,0,40,3
V0,1,I0059,32,0,0,3
V0,2,I0060,0,0,0,1
V0,2,I0061,0,0,20,1
V0,2,I0062,0,0,40,3
V0,2,I0063,20,0,40,3
V0,2,I0064,32,0,0,3
V0,3,I0065,0,0,0,1
V0,3,I0066,0,0,20,1
V0,3,I0067,0,0,40,3
V0,3,I0068,20,0,40,3
V0,3,I0069,32,0,0,3
V0,4,I0070,0,0,0,1
V0,4,I0071,0,0,20,1
V0,4,I0072,0,0,40,3
V0,4,I0073,20,0,40,3
V0,4,I0074,32,0,0,3
V0,5,I0075,0,0,0,1
V0,5,I0076,0,0,20,1
V0,5,I0077,0,0,40,3
V0,5,I0078,20,0,40,3
V0,5,I0079,32,0,0,3
V0,6,I0080,0,0,0,1
V0,6,I0081,0,0,20,1
V0,6,I0082,0,0,40,3
V0,6,I0083,20,0,40,3
V0,6,I0084,32,0,0,3
V0,7,I0085,0,0,0,1
V0,7,I0086,0,0,20,1
V0,7,I0087,0,0,40,3
V0,7,I0088,20,0,40,3
V0,7,I0089,32,0,0,3
V0,8,I0090,0,0,0,1
V0,8,I0091,0,0,20,1
V0,8,I0092,0,0,40,3
V0,8,I0093,20,0,40,3
V0,8,I0094,32,0,0,3
V0,9,I0095,0,0,0,1
V0,9,I0096,0,0,20,1
V0,9,I0097,0,0,40,3
V0,9,I0098,20,0,40,3
V0,9,I0099,32,0,0,3
V0,10,I0100,0,0,0,1
V0,10,I0101,0,0,20,1
V0,10,I0102,0,0,40,3
V0,10,I0103,20,0,40,3
V0,10,I0104,32,0,0,3
V0,11,I0105,0,0,0,1
V0,11,I0106,0,0,20,1
V0,11,I0107,0,0,40,3
V0,11,I0108,20,0,40,3
V0,11,I0109,32,0,0,3
V0,12,I0000,0,0,0,0
V0,12,I0001,36,0,0,3
V0,12,I0002,0,0,24,0
V0,12,I0003,0,0,48,0
V0,12,I0004,36,0,28,4
V0,13,I0005,0,0,0,0
V0,13,I0006,36,0,0,3
V0,13,I0007,0,0,24,0
V0,13,I0008,0,0,48,0
V0,13,I0009,36,0,28,4
V0,14,I0010,0,0,0,0
V0,14,I0011,36,0,0,3
V0,14,I0012,0,0,24,0
V0,14,I0013,0,0,48,0
V0,14,I0014,36,0,28,4
V0,15,I0015,0,0,0,0
V0,15,I0016,36,0,0,3
V0,15,I0017,0,0,24,0
V0,15,I0018,0,0,48,0
V0,15,I0019,36,0,28,4
V0,16,I0020,0,0,0,0
V0,16,I0021,36,0,0,3
V0,16,I0022,0,0,24,0
V0,16,I0023,0,0,48,0
V0,16,I0024,36,0,28,4
V0,17,I0025,0,0,0,0
V0,17,I0026,36,0,0,3
V0,17,I0027,0,0,24,0
V0,17,I0028,0,0,48,0
V0,17,I0029,36,0,28,4
V0,18,I0030,0,0,0,0
V0,18,I0031,36,0,0,3
V0,18,I0032,0,0,24,0
V0,18,I0033,0,0,48,0
V0,18,I0034,36,0,28,4
V0,19,I0035,0,0,0,0
V0,19,I0036,36,0,0,3
V0,19,I0037,0,0,24,0
V0,19,I0038,0,0,48,0
V0,19,I0039,36,0,28,4
V0,20,I0040,0,0,0,0
V0,20,I0041,36,0,0,3
V0,20,I0042,0,0,24,0
V0,20,I0043,0,0,48,0
V0,20,I0044,36,0,28,4
V0,21,I0045,0,0,0,0
V0,21,I0046,36,0,0,3
V0,21,I0047,0,0,24,0
V0,21,I0048,0,0,48,0
V0,21,I0049,36,0,28,4
