type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V1,0,I0065,0.0,0.0,0.0,0
V1,0,I0173,0.0,0.0,1350.0,0
V1,0,I0191,1200.0,0.0,0.0,0
V1,0,I0318,1200.0,0.0,1350.0,0
V1,0,I0381,2400.0,0.0,0.0,0
V1,0,I0714,2400.0,0.0,1350.0,0
V1,0,I0794,3600.0,0.0,0.0,0
V1,0,I1223,3600.0,0.0,1350.0,0
V1,0,I1227,4800.0,0.0,0.0,0
V1,0,I0000,4800.0,0.0,1350.0,1
V1,0,I0005,6000.0,0.0,0.0,0
V1,0,I0016,6000.0,1200.0,0.0,0
V1,0,I0021,6000.0,0.0,1350.0,0
V1,0,I0022,6000.0,1200.0,1350.0,0
V1,0,I0035,7600.0,0.0,0.0,0
V1,0,I0036,7600.0,1200.0,0.0,0
V1,0,I0043,7600.0,0.0,1350.0,0
V1,0,I0044,7600.0,1200.0,1350.0,0
V1,0,I0050,9200.0,0.0,0.0,0
V1,0,I0051,9200.0,1200.0,0.0,0
V1,0,I0059,9200.0,0.0,1350.0,0
V1,0,I0060,9200.0,1200.0,1350.0,0
V1,0,I0064,10800.0,0.0,0.0,0
V1,0,I0074,10800.0,1200.0,0.0,0
V1,0,I0075,10800.0,0.0,1350.0,0
V1,0,I0084,10800.0,1200.0,1350.0,0
V1,0,I0091,12400.0,0.0,0.0,0
V1,0,I0098,12400.0,1200.0,0.0,0
V1,0,I0103,12400.0,0.0,1350.0,0
V1,0,I0111,12400.0,1200.0,1350.0,0
V1,0,I0106,0.0,1600.0,0.0,2
V1,0,I0144,0.0,1600.0,1200.0,2
V1,0,I0399,1900.0,1600.0,0.0,2
V1,0,I0406,1900.0,1600.0,1200.0,2
V1,0,I0498,3800.0,1600.0,0.0,2
V1,0,I0577,3800.0,1600.0,1200.0,2
V1,0,I0659,14000.0,0.0,0.0,3
V1,0,I0737,14000.0,0.0,1200.0,3
V1,0,I0490,14000.0,0.0,2400.0,0
V1,0,I0495,14000.0,780.0,2400.0,0
V1,0,I0010,0.0,1600.0,2400.0,0
V1,0,I0023,780.0,1600.0,2400.0,0
V1,0,I0070,1560.0,1600.0,2400.0,0
V1,0,I0076,2340.0,1600.0,2400.0,0
V1,0,I0077,3120.0,1600.0,2400.0,0
V1,0,I0093,3900.0,1600.0,2400.0,0
V1,0,I0101,4680.0,1600.0,2400.0,0
V1,0,I0105,14000.0,1900.0,0.0,0
V1,0,I0112,14000.0,1900.0,478.0,0
V1,0,I0119,14000.0,1900.0,956.0,0
V1,0,I0121,14000.0,1900.0,1434.0,0
V1,0,I0127,14000.0,1900.0,1912.0,0
V1,0,I0140,14000.0,1900.0,2390.0,0
V0,1,I0128,0.0,0.0,0.0,0
V0,1,I0129,0.0,1200.0,0.0,0
V0,1,I0131,0.0,0.0,1350.0,0
V0,1,I0137,0.0,1200.0,1350.0,0
V0,1,I0146,1600.0,0.0,0.0,0
V0,1,I0149,1600.0,1200.0,0.0,0
V0,1,I0160,1600.0,0.0,1350.0,0
V0,1,I0163,1600.0,1200.0,1350.0,0
V0,1,I0164,3200.0,0.0,0.0,0
V0,1,I0168,3200.0,1200.0,0.0,0
V0,1,I0176,3200.0,0.0,1350.0,0
V0,1,I0182,3200.0,1200.0,1350.0,0
V0,1,I0186,4800.0,0.0,0.0,0
V0,1,I0187,4800.0,1200.0,0.0,0
V0,1,I0199,4800.0,0.0,1350.0,0
V0,1,I0201,4800.0,1200.0,1350.0,0
V0,1,I0204,6400.0,0.0,0.0,0
V0,1,I0207,6400.0,1200.0,0.0,0
V0,1,I0211,6400.0,0.0,1350.0,0
V0,1,I0214,6400.0,1200.0,1350.0,0
V0,1,I0216,8000.0,0.0,0.0,0
V0,1,I0217,8000.0,1200.0,0.0,0
V0,1,I0219,8000.0,0.0,1350.0,0
V0,1,I0228,8000.0,1200.0,1350.0,0
V0,1,I0232,9600.0,0.0,0.0,0
V0,1,I0233,9600.0,1200.0,0.0,0
V0,1,I0236,9600.0,0.0,1350.0,0
V0,1,I0241,9600.0,1200.0,1350.0,0
V0,1,I0246,11200.0,0.0,0.0,0
V0,1,I0247,11200.0,1200.0,0.0,0
V0,1,I0250,11200.0,0.0,1350.0,0
V0,1,I0256,11200.0,1200.0,1350.0,0
V0,1,I0268,12800.0,0.0,0.0,0
V0,1,I0285,12800.0,1200.0,0.0,0
V0,1,I0287,12800.0,0.0,1350.0,0
V0,1,I0291,12800.0,1200.0,1350.0,0
V0,2,I0293,0.0,0.0,0.0,0
V0,2,I0295,0.0,1200.0,0.0,0
V0,2,I0312,0.0,0.0,1350.0,0
V0,2,I0315,0.0,1200.0,1350.0,0
V0,2,I0323,1600.0,0.0,0.0,0
V0,2,I0333,1600.0,1200.0,0.0,0
V0,2,I0341,1600.0,0.0,1350.0,0
V0,2,I0348,1600.0,1200.0,1350.0,0
V0,2,I0371,3200.0,0.0,0.0,0
V0,2,I0375,3200.0,1200.0,0.0,0
V0,2,I0378,3200.0,0.0,1350.0,0
V0,2,I0380,3200.0,1200.0,1350.0,0
V0,2,I0383,4800.0,0.0,0.0,0
V0,2,I0393,4800.0,1200.0,0.0,0
V0,2,I0403,4800.0,0.0,1350.0,0
V0,2,I0404,4800.0,1200.0,1350.0,0
V0,2,I0409,6400.0,0.0,0.0,0
V0,2,I0418,6400.0,1200.0,0.0,0
V0,2,I0419,6400.0,0.0,1350.0,0
V0,2,I0420,6400.0,1200.0,1350.0,0
V0,2,I0422,8000.0,0.0,0.0,0
V0,2,I0430,8000.0,1200.0,0.0,0
V0,2,I0437,8000.0,0.0,1350.0,0
V0,2,I0442,8000.0,1200.0,1350.0,0
V0,2,I0445,9600.0,0.0,0.0,0
V0,2,I0451,9600.0,1200.0,0.0,0
V0,2,I0452,9600.0,0.0,1350.0,0
V0,2,I0462,9600.0,1200.0,1350.0,0
V0,2,I0463,11200.0,0.0,0.0,0
V0,2,I0465,11200.0,1200.0,0.0,0
V0,2,I0475,11200.0,0.0,1350.0,0
V0,2,I0482,11200.0,1200.0,1350.0,0
V0,2,I0484,12800.0,0.0,0.0,0
V0,2,I0491,12800.0,1200.0,0.0,0
V0,2,I0506,12800.0,0.0,1350.0,0
V0,2,I0509,12800.0,1200.0,1350.0,0
V0,3,I0516,0.0,0.0,0.0,0
V0,3,I0517,0.0,1200.0,0.0,0
V0,3,I0518,0.0,0.0,1350.0,0
V0,3,I0519,0.0,1200.0,1350.0,0
V0,3,I0520,1600.0,0.0,0.0,0
V0,3,I0521,1600.0,1200.0,0.0,0
V0,3,I0522,1600.0,0.0,1350.0,0
V0,3,I0528,1600.0,1200.0,1350.0,0
V0,3,I0543,3200.0,0.0,0.0,0
V0,3,I0554,3200.0,1200.0,0.0,0
V0,3,I0556,3200.0,0.0,1350.0,0
V0,3,I0560,3200.0,1200.0,1350.0,0
V0,3,I0561,4800.0,0.0,0.0,0
V0,3,I0562,4800.0,1200.0,0.0,0
V0,3,I0566,4800.0,0.0,1350.0,0
V0,3,I0571,4800.0,1200.0,1350.0,0
V0,3,I0580,6400.0,0.0,0.0,0
V0,3,I0589,6400.0,1200.0,0.0,0
V0,3,I0590,6400.0,0.0,1350.0,0
V0,3,I0612,6400.0,1200.0,1350.0,0
V0,3,I0615,8000.0,0.0,0.0,0
V0,3,I0618,8000.0,1200.0,0.0,0
V0,3,I0621,8000.0,0.0,1350.0,0
V0,3,I0629,8000.0,1200.0,1350.0,0
V0,3,I0630,9600.0,0.0,0.0,0
V0,3,I0634,9600.0,1200.0,0.0,0
V0,3,I0636,9600.0,0.0,1350.0,0
V0,3,I0638,9600.0,1200.0,1350.0,0
V0,3,I0642,11200.0,0.0,0.0,0
V0,3,I0647,11200.0,1200.0,0.0,0
V0,3,I0649,11200.0,0.0,1350.0,0
V0,3,I0657,11200.0,1200.0,1350.0,0
V0,3,I0668,12800.0,0.0,0.0,0
V0,3,I0677,12800.0,1200.0,0.0,0
V0,3,I0689,12800.0,0.0,1350.0,0
V0,3,I0697,12800.0,1200.0,1350.0,0
V0,4,I0699,0.0,0.0,0.0,0
V0,4,I0701,0.0,1200.0,0.0,0
V0,4,I0702,0.0,0.0,1350.0,0
V0,4,I0706,0.0,1200.0,1350.0,0
V0,4,I0707,1600.0,0.0,0.0,0
V0,4,I0708,1600.0,1200.0,0.0,0
V0,4,I0717,1600.0,0.0,1350.0,0
V0,4,I0722,1600.0,1200.0,1350.0,0
V0,4,I0727,3200.0,0.0,0.0,0
V0,4,I0730,3200.0,1200.0,0.0,0
V0,4,I0733,3200.0,0.0,1350.0,0
V0,4,I0758,3200.0,1200.0,1350.0,0
V0,4,I0761,4800.0,0.0,0.0,0
V0,4,I0767,4800.0,1200.0,0.0,0
V0,4,I0777,4800.0,0.0,1350.0,0
V0,4,I0785,4800.0,1200.0,1350.0,0
V0,4,I0788,6400.0,0.0,0.0,0
V0,4,I0795,6400.0,1200.0,0.0,0
V0,4,I0797,6400.0,0.0,1350.0,0
V0,4,I0802,6400.0,1200.0,1350.0,0
V0,4,I0816,8000.0,0.0,0.0,0
V0,4,I0818,8000.0,1200.0,0.0,0
V0,4,I0823,8000.0,0.0,1350.0,0
V0,4,I0827,8000.0,1200.0,1350.0,0
V0,4,I0831,9600.0,0.0,0.0,0
V0,4,I0837,9600.0,1200.0,0.0,0
V0,4,I0849,9600.0,0.0,1350.0,0
V0,4,I0851,9600.0,1200.0,1350.0,0
V0,4,I0859,11200.0,0.0,0.0,0
V0,4,I0861,11200.0,1200.0,0.0,0
V0,4,I0864,11200.0,0.0,1350.0,0
V0,4,I0872,11200.0,1200.0,1350.0,0
V0,4,I0878,12800.0,0.0,0.0,0
V0,4,I0885,12800.0,1200.0,0.0,0
V0,4,I0891,12800.0,0.0,1350.0,0
V0,4,I0904,12800.0,1200.0,1350.0,0
V0,5,I0906,0.0,0.0,0.0,0
V0,5,I0911,0.0,1200.0,0.0,0
V0,5,I0916,0.0,0.0,1350.0,0
V0,5,I0920,0.0,1200.0,1350.0,0
V0,5,I0928,1600.0,0.0,0.0,0
V0,5,I0930,1600.0,1200.0,0.0,0
V0,5,I0937,1600.0,0.0,1350.0,0
V0,5,I0941,1600.0,1200.0,1350.0,0
V0,5,I0944,3200.0,0.0,0.0,0
V0,5,I0945,3200.0,1200.0,0.0,0
V0,5,I0948,3200.0,0.0,1350.0,0
V0,5,I0955,3200.0,1200.0,1350.0,0
V0,5,I0959,4800.0,0.0,0.0,0
V0,5,I0969,4800.0,1200.0,0.0,0
V0,5,I0993,4800.0,0.0,1350.0,0
V0,5,I1016,4800.0,1200.0,1350.0,0
V0,5,I1020,6400.0,0.0,0.0,0
V0,5,I1026,6400.0,1200.0,0.0,0
V0,5,I1028,6400.0,0.0,1350.0,0
V0,5,I1034,6400.0,1200.0,1350.0,0
V0,5,I1035,8000.0,0.0,0.0,0
V0,5,I1036,8000.0,1200.0,0.0,0
V0,5,I1038,8000.0,0.0,1350.0,0
V0,5,I1045,8000.0,1200.0,1350.0,0
V0,5,I1050,9600.0,0.0,0.0,0
V0,5,I1051,9600.0,1200.0,0.0,0
V0,5,I1052,9600.0,0.0,1350.0,0
V0,5,I1060,9600.0,1200.0,1350.0,0
V0,5,I1061,11200.0,0.0,0.0,0
V0,5,I1068,11200.0,1200.0,0.0,0
V0,5,I1073,11200.0,0.0,1350.0,0
V0,5,I1076,11200.0,1200.0,1350.0,0
V0,5,I1080,12800.0,0.0,0.0,0
V0,5,I1082,12800.0,1200.0,0.0,0
V0,5,I1085,12800.0,0.0,1350.0,0
V0,5,I1086,12800.0,1200.0,1350.0,0
