type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V1,0,I0106,0.0,0,0.0,0
V1,0,I0144,1900.0,0,0.0,0
V1,0,I0399,3800.0,0,0.0,0
V1,0,I0406,5700.0,0,0.0,0
V1,0,I0498,7600.0,0,0.0,0
V1,0,I0577,9500.0,0,0.0,0
V1,0,I0659,11400.0,0,0.0,0
V1,0,I0737,0.0,1200,0.0,0
V1,0,I1037,1900.0,1200,0.0,0
V1,0,I1159,3800.0,1200,0.0,0
V1,0,I1176,0.0,0,750.0,0
V1,0,I1232,5700.0,1200,0.0,0
V1,0,I0000,0.0,0,1500.0,1
V1,0,I0005,1200.0,0,750.0,0
V1,0,I0016,2800.0,0,750.0,0
V1,0,I0021,4400.0,0,750.0,0
V1,0,I0022,6000.0,0,750.0,0
V1,0,I0035,7600.0,0,750.0,0
V1,0,I0036,9200.0,0,750.0,0
V1,0,I0043,10800.0,0,750.0,0
V1,0,I0044,13300.0,0,0.0,0
V1,0,I0050,7600.0,1200,0.0,0
V1,0,I0051,9200.0,1200,0.0,0
V1,0,I0059,10800.0,1200,0.0,0
V1,0,I0060,12400.0,1200,0.0,0
V1,0,I0064,1200.0,1200,750.0,0
V1,0,I0074,2800.0,1200,750.0,0
V1,0,I0075,4400.0,1200,750.0,0
V1,0,I0084,6000.0,1200,750.0,0
V1,0,I0091,13300.0,0,1350.0,0
V1,0,I0098,7600.0,1200,1350.0,0
V1,0,I0103,9200.0,1200,1350.0,0
V1,0,I0111,10800.0,1200,1350.0,0
V1,0,I0128,12400.0,1200,1350.0,0
V1,0,I0004,1200.0,0,2100.0,0
V1,0,I0012,2400.0,0,2100.0,0
V1,0,I0030,3600.0,0,2100.0,0
V1,0,I0067,4800.0,0,2100.0,0
V1,0,I0092,6000.0,0,2100.0,0
V1,0,I0095,7200.0,0,2100.0,1
V1,0,I0096,8200.0,0,2100.0,1
V1,0,I0100,9200.0,0,2100.0,1
V1,0,I0125,10200.0,0,2100.0,1
V1,0,I0130,11200.0,0,2100.0,1
V1,0,I0135,1200.0,1000,2100.0,0
V1,0,I0141,2400.0,1000,2100.0,0
V1,0,I0142,3400.0,1000,2100.0,0
V1,0,I0151,4600.0,1000,2100.0,0
V1,0,I0156,5800.0,1000,2100.0,0
V1,0,I0010,14000.0,1200,0.0,0
V1,0,I0023,14000.0,1770,0.0,0
V1,0,I0070,14000.0,1200,478.0,0
V1,0,I0076,14000.0,1770,478.0,0
V1,0,I0077,12400.0,0,750.0,0
V1,0,I0093,12400.0,570,750.0,0
V1,0,I0101,14000.0,1200,956.0,0
V1,0,I0105,14000.0,1770,956.0,0
V1,0,I0112,12400.0,0,1228.0,0
V1,0,I0119,12400.0,570,1228.0,0
V1,0,I0121,14000.0,1200,1434.0,0
V1,0,I0127,14000.0,1770,1434.0,0
V1,0,I0140,14000.0,1200,1912.0,0
V1,0,I0157,14000.0,1770,1912.0,0
V1,0,I0161,12400.0,0,1706.0,0
V1,0,I0174,12400.0,570,1706.0,0
V1,0,I0177,14000.0,1200,2390.0,0
V1,0,I0179,14000.0,1770,2390.0,0
V1,0,I0181,12400.0,0,2184.0,0
V1,0,I0190,12400.0,570,2184.0,0
V0,1,I0065,0.0,0,0.0,0
V0,1,I0129,1200.0,0,0.0,0
V0,1,I0131,1200.0,1200,0.0,0
V0,1,I0137,2800.0,0,0.0,0
V0,1,I0146,2800.0,1200,0.0,0
V0,1,I0149,4400.0,0,0.0,0
V0,1,I0160,4400.0,1200,0.0,0
V0,1,I0163,6000.0,0,0.0,0
V0,1,I0164,6000.0,1200,0.0,0
V0,1,I0168,7600.0,0,0.0,0
V0,1,I0173,0.0,0,1350.0,0
V0,1,I0176,7600.0,1200,0.0,0
V0,1,I0182,9200.0,0,0.0,0
V0,1,I0186,9200.0,1200,0.0,0
V0,1,I0187,10800.0,0,0.0,0
V0,1,I0191,1200.0,0,1350.0,0
V0,1,I0199,10800.0,1200,0.0,0
V0,1,I0201,12400.0,0,0.0,0
V0,1,I0204,12400.0,1200,0.0,0
V0,1,I0207,2400.0,0,1350.0,0
V0,1,I0211,2400.0,1200,1350.0,0
V0,1,I0214,4000.0,0,1350.0,0
V0,1,I0216,4000.0,1200,1350.0,0
V0,1,I0217,5600.0,0,1350.0,0
V0,1,I0219,5600.0,1200,1350.0,0
V0,1,I0228,7200.0,0,1350.0,0
V0,1,I0232,7200.0,1200,1350.0,0
V0,1,I0233,8800.0,0,1350.0,0
V0,1,I0236,8800.0,1200,1350.0,0
V0,1,I0241,10400.0,0,1350.0,0
V0,1,I0246,10400.0,1200,1350.0,0
V0,1,I0247,12000.0,0,1350.0,0
V0,1,I0250,12000.0,1200,1350.0,0
V0,1,I0193,0.0,1600,0.0,0
V0,1,I0220,0.0,1600,478.0,0
V0,1,I0240,0.0,1600,956.0,0
V0,1,I0251,0.0,1600,1434.0,0
V0,1,I0271,0.0,1600,1912.0,0
V0,1,I0273,1200.0,1600,1350.0,0
V0,1,I0275,1200.0,1600,1828.0,0
V0,1,I0289,1200.0,1600,2306.0,0
V0,2,I0256,0.0,0,0.0,0
V0,2,I0268,0.0,1200,0.0,0
V0,2,I0285,1600.0,0,0.0,0
V0,2,I0287,1600.0,1200,0.0,0
V0,2,I0291,3200.0,0,0.0,0
V0,2,I0293,3200.0,1200,0.0,0
V0,2,I0295,4800.0,0,0.0,0
V0,2,I0312,4800.0,1200,0.0,0
V0,2,I0315,6400.0,0,0.0,0
V0,2,I0318,0.0,0,1350.0,0
V0,2,I0323,6400.0,1200,0.0,0
V0,2,I0333,8000.0,0,0.0,0
V0,2,I0341,8000.0,1200,0.0,0
V0,2,I0348,9600.0,0,0.0,0
V0,2,I0371,9600.0,1200,0.0,0
V0,2,I0375,11200.0,0,0.0,0
V0,2,I0378,11200.0,1200,0.0,0
V0,2,I0380,12800.0,0,0.0,0
