type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V0,0,I0002,0,0,0,0
V0,0,I0011,0,1200,0,0
V0,0,I0013,1600,0,0,0
V0,0,I0014,1600,1200,0,0
V0,0,I0016,3200,0,0,0
V0,0,I0021,3200,1200,0,0
V0,0,I0037,4800,0,0,0
V0,0,I0038,4800,1200,0,0
V0,0,I0040,6400,0,0,0
V0,0,I0042,6400,1200,0,0
V0,0,I0057,8000,0,0,0
V0,0,I0065,8000,1200,0,0
V0,0,I0069,9600,0,0,0
V0,0,I0070,9600,1200,0,0
V0,0,I0072,11200,0,0,0
V0,0,I0074,11200,1200,0,0
V0,0,I0075,12800,0,0,0
V0,0,I0077,12800,1200,0,0
V0,0,I0080,0,0,1350,0
V0,0,I0081,0,1200,1350,0
V0,0,I0084,1600,0,1350,0
V0,0,I0087,1600,1200,1350,0
V0,0,I0097,3200,0,1350,0
V0,0,I0105,3200,1200,1350,0
V0,0,I0110,4800,0,1350,0
V0,0,I0136,4800,1200,1350,0
V0,0,I0140,6400,0,1350,0
V0,0,I0147,6400,1200,1350,0
V0,0,I0151,8000,0,1350,0
V0,0,I0153,8000,1200,1350,0
V0,0,I0174,9600,0,1350,0
V0,0,I0175,9600,1200,1350,0
V0,0,I0185,11200,0,1350,0
V0,0,I0190,11200,1200,1350,0
V0,0,I0200,12800,0,1350,0
V0,0,I0203,12800,1200,1350,0
V0,1,I0204,0,0,0,0
V0,1,I0208,0,1200,0,0
V0,1,I0209,1600,0,0,0
V0,1,I0218,1600,1200,0,0
V0,1,I0220,3200,0,0,0
V0,1,I0222,3200,1200,0,0
V0,1,I0225,4800,0,0,0
V0,1,I0233,4800,1200,0,0
V0,1,I0234,6400,0,0,0
V0,1,I0238,6400,1200,0,0
V0,1,I0239,8000,0,0,0
V0,1,I0241,8000,1200,0,0
V0,1,I0247,9600,0,0,0
V0,1,I0254,9600,1200,0,0
V0,1,I0257,11200,0,0,0
V0,1,I0258,11200,1200,0,0
V0,1,I0259,12800,0,0,0
V0,1,I0263,12800,1200,0,0
V0,1,I0270,0,0,1350,0
V0,1,I0281,0,1200,1350,0
V0,1,I0284,1600,0,1350,0
V0,1,I0291,1600,1200,1350,0
V0,1,I0296,3200,0,1350,0
V0,1,I0298,3200,1200,1350,0
V0,1,I0310,4800,0,1350,0
V0,1,I0315,4800,1200,1350,0
V0,1,I0320,6400,0,1350,0
V0,1,I0321,6400,1200,1350,0
V0,1,I0322,8000,0,1350,0
V0,1,I0334,8000,1200,1350,0
V0,1,I0348,9600,0,1350,0
V0,1,I0350,9600,1200,1350,0
V0,1,I0356,11200,0,1350,0
V0,1,I0357,11200,1200,1350,0
V0,1,I0369,12800,0,1350,0
V0,1,I0377,12800,1200,1350,0
V0,2,I0380,0,0,0,0
V0,2,I0405,0,1200,0,0
V0,2,I0410,1600,0,0,0
V0,2,I0418,1600,1200,0,0
V0,2,I0420,3200,0,0,0
V0,2,I0422,3200,1200,0,0
V0,2,I0427,4800,0,0,0
V0,2,I0432,4800,1200,0,0
V0,2,I0434,6400,0,0,0
V0,2,I0440,6400,1200,0,0
V0,2,I0442,8000,0,0,0
V0,2,I0445,8000,1200,0,0
V0,2,I0450,9600,0,0,0
V0,2,I0453,9600,1200,0,0
V0,2,I0459,11200,0,0,0
V0,2,I0465,11200,1200,0,0
V0,2,I0471,12800,0,0,0
V0,2,I0473,12800,1200,0,0
V0,2,I0474,0,0,1350,0
V0,2,I0491,0,1200,1350,0
V0,2,I0500,1600,0,1350,0
V0,2,I0509,1600,1200,1350,0
V0,2,I0511,3200,0,1350,0
V0,2,I0525,3200,1200,1350,0
V0,2,I0536,4800,0,1350,0
V0,2,I0547,4800,1200,1350,0
V0,2,I0550,6400,0,1350,0
V0,2,I0553,6400,1200,1350,0
V0,2,I0564,8000,0,1350,0
V0,2,I0567,8000,1200,1350,0
V0,2,I0571,9600,0,1350,0
V0,2,I0581,9600,1200,1350,0
V0,2,I0589,11200,0,1350,0
V0,2,I0590,11200,1200,1350,0
V0,2,I0603,12800,0,1350,0
V0,2,I0604,12800,1200,1350,0
V0,3,I0619,0,0,0,0
V0,3,I0629,0,1200,0,0
V0,3,I0632,1600,0,0,0
V0,3,I0633,1600,1200,0,0
V0,3,I0635,3200,0,0,0
V0,3,I0637,3200,1200,0,0
V0,3,I0639,4800,0,0,0
V0,3,I0655,4800,1200,0,0
V0,3,I0661,6400,0,0,0
V0,3,I0671,6400,1200,0,0
V0,3,I0674,8000,0,0,0
V0,3,I0679,8000,1200,0,0
V0,3,I0687,9600,0,0,0
V0,3,I0690,9600,1200,0,0
V0,3,I0692,11200,0,0,0
V0,3,I0715,11200,1200,0,0
V0,3,I0717,12800,0,0,0
V0,3,I0719,12800,1200,0,0
V0,3,I0721,0,0,1350,0
V0,3,I0727,0,1200,1350,0
V0,3,I0728,1600,0,1350,0
V0,3,I0732,1600,1200,1350,0
V0,3,I0738,3200,0,1350,0
V0,3,I0743,3200,1200,1350,0
V0,3,I0747,4800,0,1350,0
V0,3,I0756,4800,1200,1350,0
V0,3,I0757,6400,0,1350,0
V0,3,I0758,6400,1200,1350,0
V0,3,I0769,8000,0,1350,0
V0,3,I0771,8000,1200,1350,0
V0,3,I0775,9600,0,1350,0
V0,3,I0781,9600,1200,1350,0
V0,3,I0784,11200,0,1350,0
V0,3,I0790,11200,1200,1350,0
V0,3,I0791,12800,0,1350,0
V0,3,I0794,12800,1200,1350,0
V0,4,I0799,0,0,0,0
V0,4,I0808,0,1200,0,0
V0,4,I0814,1600,0,0,0
V0,4,I0816,1600,1200,0,0
V0,4,I0822,3200,0,0,0
V0,4,I0825,3200,1200,0,0
V0,4,I0832,4800,0,0,0
V0,4,I0834,4800,1200,0,0
V0,4,I0838,6400,0,0,0
V0,4,I0844,6400,1200,0,0
V0,4,I0848,8000,0,0,0
V0,4,I0853,8000,1200,0,0
V0,4,I0855,9600,0,0,0
V0,4,I0858,9600,1200,0,0
V0,4,I0860,11200,0,0,0
V0,4,I0867,11200,1200,0,0
V0,4,I0869,12800,0,0,0
V0,4,I0871,12800,1200,0,0
V0,4,I0872,0,0,1350,0
V0,4,I0874,0,1200,1350,0
V0,4,I0892,1600,0,1350,0
V0,4,I0893,1600,1200,1350,0
V0,4,I0904,3200,0,1350,0
V0,4,I0917,3200,1200,1350,0
V0,4,I0920,4800,0,1350,0
V0,4,I0923,4800,1200,1350,0
V0,4,I0933,6400,0,1350,0
V0,4,I0943,6400,1200,1350,0
V0,4,I0954,8000,0,1350,0
V0,4,I0955,8000,1200,1350,0
V0,4,I0957,9600,0,1350,0
V0,4,I0960,9600,1200,1350,0
V0,4,I0963,11200,0,1350,0
V0,4,I0975,11200,1200,1350,0
V0,4,I0979,12800,0,1350,0
V0,4,I0980,12800,1200,1350,0
V0,5,I0983,0,0,0,0
