type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V1,0,I0000,0,0,0,0
V1,0,I0007,1400,0,0,0
V1,0,I0008,2800,0,0,0
V1,0,I0017,4200,0,0,0
V1,0,I0027,5600,0,0,0
V1,0,I0028,7000,0,0,0
V1,0,I0047,8400,0,0,0
V1,0,I0054,9800,0,0,0
V1,0,I0059,11200,0,0,0
V1,0,I0060,12600,0,0,0
V1,0,I0061,0,1200,0,0
V1,0,I0067,1400,1200,0,0
V1,0,I0068,2800,1200,0,0
V1,0,I0086,4200,1200,0,0
V1,0,I0089,5600,1200,0,0
V1,0,I0094,7000,1200,0,0
V1,0,I0095,8400,1200,0,0
V1,0,I0099,9800,1200,0,0
V1,0,I0102,11200,1200,0,0
V1,0,I0106,12600,1200,0,0
V1,0,I0109,0,0,1450,0
V1,0,I0111,1400,0,1450,0
V1,0,I0113,2800,0,1450,0
V1,0,I0119,4200,0,1450,0
V1,0,I0127,5600,0,1450,0
V1,0,I0129,7000,0,1450,0
V1,0,I0131,8400,0,1450,0
V1,0,I0133,9800,0,1450,0
V1,0,I0134,11200,0,1450,0
V1,0,I0135,12600,0,1450,0
V1,0,I0139,0,1200,1450,0
V1,0,I0146,1400,1200,1450,0
V1,0,I0148,2800,1200,1450,0
V1,0,I0150,4200,1200,1450,0
V1,0,I0163,5600,1200,1450,0
V1,0,I0164,7000,1200,1450,0
V1,0,I0165,8400,1200,1450,0
V1,0,I0166,9800,1200,1450,0
V1,0,I0167,11200,1200,1450,0
V1,0,I0168,12600,1200,1450,0
V1,0,I0217,14000,0,0,3
V1,0,I0540,14000,0,1200,3
V1,0,I0018,14000,1900,0,0
V1,0,I0020,14000,1900,478,0
V1,0,I0022,14000,1900,956,0
V1,0,I0026,14000,1900,1434,0
V1,0,I0032,14000,1900,1912,0
V1,0,I0036,14000,1900,2390,0
V1,1,I0173,0,0,0,0
V1,1,I0176,1400,0,0,0
V1,1,I0181,2800,0,0,0
V1,1,I0184,4200,0,0,0
V1,1,I0194,5600,0,0,0
V1,1,I0196,7000,0,0,0
V1,1,I0199,8400,0,0,0
V1,1,I0206,9800,0,0,0
V1,1,I0211,11200,0,0,0
V1,1,I0228,12600,0,0,0
V1,1,I0240,0,1200,0,0
V1,1,I0242,1400,1200,0,0
V1,1,I0251,2800,1200,0,0
V1,1,I0260,4200,1200,0,0
V1,1,I0268,5600,1200,0,0
V1,1,I0269,7000,1200,0,0
V1,1,I0275,8400,1200,0,0
V1,1,I0282,9800,1200,0,0
V1,1,I0283,11200,1200,0,0
V1,1,I0285,12600,1200,0,0
V1,1,I0286,0,0,1450,0
V1,1,I0290,1400,0,1450,0
V1,1,I0292,2800,0,1450,0
V1,1,I0299,4200,0,1450,0
V1,1,I0302,5600,0,1450,0
V1,1,I0305,7000,0,1450,0
V1,1,I0316,8400,0,1450,0
V1,1,I0324,9800,0,1450,0
V1,1,I0325,11200,0,1450,0
V1,1,I0326,12600,0,1450,0
V1,1,I0338,0,1200,1450,0
V1,1,I0344,1400,1200,1450,0
V1,1,I0351,2800,1200,1450,0
V1,1,I0352,4200,1200,1450,0
V1,1,I0353,5600,1200,1450,0
V1,1,I0358,7000,1200,1450,0
V1,1,I0359,8400,1200,1450,0
V1,1,I0371,9800,1200,1450,0
V1,1,I0373,11200,1200,1450,0
V1,1,I0374,12600,1200,1450,0
V1,1,I0583,14000,0,0,3
V1,1,I0714,14000,0,1200,3
V1,1,I0044,14000,1900,0,0
V1,1,I0045,14000,1900,478,0
V1,1,I0055,14000,1900,956,0
