type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V0,0,I0472,0,0,0,1
V0,0,I0627,1200,0,0,1
V0,0,I0713,2400,0,0,1
V0,0,I0062,3600,0,0,1
V0,0,I0064,5200,0,0,1
V0,0,I0087,6800,0,0,1
V0,0,I0120,8400,0,0,1
V0,0,I0223,10000,0,0,1
V0,0,I0253,11600,0,0,1
V0,0,I0672,13200,0,0,1
V0,0,I0910,3600,0,1450,1
V0,0,I0987,5200,0,1450,1
V0,0,I0988,6800,0,1450,1
V0,0,I1140,8400,0,1450,1
V0,0,I1160,10000,0,1450,1
V0,0,I1162,11600,0,1450,1
V0,0,I1170,13200,0,1450,1
V0,0,I0061,0,0,2350,1
V0,0,I0201,1200,0,2350,1
V0,0,I0927,2400,0,2350,1
V0,0,I0065,0,2000,0,2
V0,0,I0163,780,2000,0,2
V0,0,I0171,1560,2000,0,2
V0,0,I0212,2340,2000,0,2
V0,0,I0237,0,2000,570,2
V0,0,I0334,780,2000,570,2
V0,0,I0414,1560,2000,570,2
V0,0,I0553,2340,2000,570,2
V0,0,I0681,0,2000,1140,2
V0,0,I0692,780,2000,1140,2
V0,0,I0882,1560,2000,1140,2
V0,0,I1078,2340,2000,1140,2
V0,0,I1089,0,2000,1710,2
V0,0,I1120,780,2000,1710,2
V0,0,I1193,1560,2000,1710,2
V5,1,I1220,0,0,0,1
V5,1,I1286,1600,0,0,1
V5,1,I0017,3200,0,0,1
V5,1,I0044,4750,0,0,1
V5,1,I0109,0,0,1450,1
V5,1,I0236,1550,0,1450,1
V5,1,I0239,3100,0,1450,1
V5,1,I0274,4650,0,1450,1
V5,1,I0496,6300,0,0,1
V5,1,I0724,6300,0,1295,1
V5,1,I0046,6300,0,2590,1
V5,2,I0305,0,0,0,1
V5,2,I0383,1550,0,0,1
V5,2,I0396,3100,0,0,1
V5,2,I0412,4650,0,0,1
V5,2,I0601,0,0,1450,1
V5,2,I0625,1550,0,1450,1
V5,2,I0631,3100,0,1450,1
