type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V0,0,I0472,0,0,0,0
V0,0,I0627,2000,0,0,0
V0,0,I0713,4000,0,0,0
V0,0,I0062,6000,0,0,2
V0,0,I0064,8200,0,0,2
V0,0,I0087,10400,0,0,2
V0,0,I0120,12600,0,0,2
V0,0,I0496,0,1200,0,0
V0,0,I0724,1910,1200,0,0
V0,0,I0761,3820,1200,0,0
V0,0,I0854,0,1200,1295,0
V0,0,I0980,1910,1200,1295,0
V0,0,I1005,3820,1200,1295,0
V0,0,I1293,6000,0,1600,0
V0,0,I1296,7910,0,1600,0
V0,0,I0101,9820,0,1600,0
V0,0,I0398,11620,0,1600,0
V0,0,I0043,6000,1450,0,2
V0,0,I0121,7800,1450,0,2
V0,0,I0292,9600,1450,0,2
V0,0,I0415,11400,1450,0,2
V0,0,I0523,13200,1450,0,5
V0,0,I0592,11400,1450,1400,2
V0,0,I0823,9600,1450,1400,2
V0,0,I0903,7800,1450,1400,2
V0,0,I0915,6000,1450,1400,2
V0,0,I0355,13420,0,1600,0
V0,0,I0282,13200,1450,1800,0
V0,0,I0061,0,0,2350,0
V0,0,I0201,2000,0,2350,0
V0,0,I0927,4000,0,2350,0
V0,0,I1095,0,1200,2590,1
V0,0,I0154,1000,1200,2590,1
V0,0,I0055,2000,1200,2590,1
V0,0,I0911,3000,1200,2590,1
V0,0,I0294,4000,1200,2590,1
V5,1,I0223,0,0,0,0
V5,1,I0253,2200,0,0,0
V5,1,I0672,4400,0,0,0
V5,1,I0910,0,0,1450,0
V5,1,I0987,2200,0,1450,0
V5,1,I0988,4400,0,1450,0
V5,1,I0172,6600,0,0,3
V5,1,I0254,0,1600,0,2
V5,1,I1273,1200,1600,0,2
V5,1,I0234,2400,1600,0,2
V5,1,I0517,3600,1600,0,2
V5,1,I0183,4800,1600,0,2
V5,1,I0403,6600,0,1000,3
V5,1,I0520,6600,0,2000,3
V5,1,I0839,0,1600,1000,2
V5,1,I1042,0,1600,2000,2
V5,1,I1143,1200,1600,1000,2
V5,1,I0298,1200,1600,2000,2
V5,1,I0503,2400,1600,1000,2
V5,1,I0649,2400,1600,2000,2
V5,1,I0819,3600,1600,1000,2
V5,1,I0821,3600,1600,2000,2
V5,1,I1133,4800,1600,1000,2
V5,1,I1156,4800,1600,2000,2
V5,1,I1241,6000,1600,0,5
V5,1,I0163,6000,1600,1200,4
V5,2,I1140,0,0,0,0
V5,2,I1160,2200,0,0,0
V5,2,I1162,4400,0,0,0
V5,2,I1170,0,0,1450,0
V5,2,I1220,2200,0,1450,0
V5,2,I1286,4400,0,1450,0
V5,2,I1244,6600,0,0,3
V5,2,I0669,0,1600,0,2
V5,2,I1198,1200,1600,0,2
V5,2,I1011,2400,1600,0,2
V5,2,I0161,3600,1600,0,2
V5,2,I0392,4800,1600,0,2
V5,2,I1122,6600,0,1000,3
V5,2,I1176,6600,0,2000,3
V5,2,I0136,0,1600,1000,2
V5,2,I0215,0,1600,2000,2
V5,2,I0266,1200,1600,1000,2
V5,2,I0420,1200,1600,2000,2
V5,2,I0446,2400,1600,1000,2
V5,2,I0603,2400,1600,2000,2
V5,2,I0772,3600,1600,1000,2
V5,2,I0875,3600,1600,2000,2
V5,2,I0931,4800,1600,1000,2
V5,2,I0941,4800,1600,2000,2
V5,2,I1004,6000,1600,0,5
V5,2,I1045,6000,1600,1200,5
V5,2,I0065,6000,1600,2400,0
V5,2,I0334,7000,1600,0,3
