type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V7,0,I0372,0,0,0,0
V7,0,I0136,2200,0,0,1
V7,0,I0342,0,0,1450,0
V7,0,I0313,1900,0,1450,0
V7,0,I0458,0,1600,0,0
V7,0,I0314,0,1600,445,0
V7,0,I0415,0,1600,890,0
V7,0,I0254,0,1600,1335,0
V7,0,I0203,0,1600,1813,0
V7,1,I0386,0,0,0,0
V7,1,I0097,2050,0,0,0
V7,1,I0005,0,0,1450,0
V7,1,I0231,1900,0,1450,0
V7,1,I0443,0,1550,0,0
V7,1,I0256,0,1550,445,0
V7,1,I0338,800,1550,0,0
V7,1,I0327,780,1550,445,0
V7,1,I0330,0,1550,923,0
V7,1,I0350,780,1550,890,0
V7,1,I0488,780,1550,1335,0
V7,1,I0079,780,1550,1780,0
V7,1,I0408,1600,1550,0,0
V7,2,I0071,0,0,0,0
V7,2,I0311,2050,0,0,0
V7,2,I0165,0,0,1450,0
V7,2,I0061,1900,0,1450,0
V7,2,I0464,0,1550,0,0
V7,2,I0026,0,1550,478,0
V7,2,I0199,0,1550,956,0
V7,2,I0193,780,1550,0,0
V7,2,I0486,780,1550,445,0
V7,3,I0179,0,0,0,0
V7,3,I0163,2200,0,0,1
V7,3,I0345,0,0,1450,0
V7,3,I0476,1900,0,1450,0
V7,3,I0379,0,1600,0,0
V7,3,I0485,0,1600,478,0
V7,4,I0482,0,0,0,0
V7,4,I0233,2050,0,0,1
V7,4,I0364,0,0,1450,0
V7,4,I0110,1900,0,1450,0
V7,4,I0015,0,1550,0,0
V7,4,I0092,0,1550,478,0
V7,5,I0247,0,0,0,0
V7,5,I0316,2200,0,0,1
V7,5,I0041,0,0,1450,0
V7,5,I0297,0,1600,0,2
V7,5,I0394,1900,0,1450,0
V7,6,I0178,0,0,0,0
V7,6,I0144,2200,0,0,1
V7,6,I0409,0,0,1450,0
V7,6,I0373,0,1600,0,2
V7,6,I0294,1900,0,1450,0
V7,7,I0017,0,0,0,0
V7,7,I0053,2200,0,0,1
V7,7,I0258,0,0,1450,0
V7,7,I0430,1900,0,1450,0
V7,7,I0435,0,1600,0,0
V7,7,I0095,0,1600,478,0
V7,8,I0287,0,0,0,0
V7,8,I0288,2200,0,0,1
V7,8,I0477,0,0,1450,0
V7,8,I0242,1900,0,1450,0
V7,8,I0439,0,1600,0,0
V7,9,I0361,0,0,0,0
V7,9,I0472,2200,0,0,1
V7,9,I0278,0,0,1450,0
V7,9,I0309,0,1600,0,2
V7,9,I0290,1900,0,1450,0
V7,10,I0145,0,0,0,0
V7,10,I0334,2200,0,0,1
V7,10,I0054,0,1600,0,2
V7,10,I0441,0,0,1450,0
V7,11,I0204,0,0,0,0
V7,11,I0200,2400,0,0,1
V7,11,I0105,0,1200,0,0
V7,11,I0082,0,1200,950,0
V7,11,I0375,0,0,1490,0
V7,12,I0449,0,0,0,0
V7,12,I0243,2050,0,0,0
V7,12,I0141,0,1550,0,2
V7,12,I0085,0,0,1450,0
V7,12,I0022,0,1550,1200,2
V7,13,I0240,0,0,0,0
V7,13,I0429,2200,0,0,1
V7,13,I0132,0,1600,0,2
V7,13,I0268,0,0,1450,0
V7,13,I0172,1600,0,1450,0
V7,14,I0304,0,0,0,0
V7,14,I0261,2050,0,0,0
V7,14,I0167,2050,0,1350,0
V7,14,I0494,0,1550,0,2
V7,15,I0210,0,0,0,0
V7,15,I0416,2030,0,0,0
V7,15,I0052,0,0,1350,0
V7,15,I0024,2030,0,1450,0
V7,15,I0030,0,1530,0,0
V7,15,I0410,0,1530,478,0
V7,15,I0183,0,1530,956,0
V7,16,I0323,0,0,0,0
V7,16,I0433,2200,0,0,1
V7,16,I0431,0,0,1450,0
V7,16,I0454,0,1600,0,2
V7,16,I0255,2200,0,1350,0
V7,17,I0382,0,0,0,0
V7,17,I0115,2200,0,0,1
V7,17,I0154,0,0,1450,0
V7,17,I0033,1900,0,1450,0
