type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V7,0,I0204,0,0,0,0
V7,0,I0000,2400,0,0,1
V7,0,I0077,0,1200,0,0
V7,0,I0283,1200,1200,0,0
V7,0,I0295,0,1200,1155,0
V7,0,I0401,1200,1200,1155,0
V7,0,I0056,0,0,1490,0
V7,1,I0207,0,0,0,0
V7,1,I0012,2400,0,0,1
V7,1,I0475,0,1200,0,0
V7,1,I0035,1200,1200,0,0
V7,1,I0066,0,1200,1057,0
V7,1,I0096,1200,1200,975,0
V7,2,I0362,0,0,0,0
V7,2,I0017,2400,0,0,1
V7,2,I0069,0,1200,0,0
V7,2,I0088,1200,1200,0,0
V7,2,I0090,0,1200,975,0
V7,2,I0117,1200,1200,975,0
V7,2,I0079,0,0,1490,0
V7,2,I0193,0,600,1490,0
V7,3,I0019,0,0,0,1
V7,3,I0053,1600,0,0,1
V7,3,I0005,0,0,1450,0
V7,3,I0002,0,1200,1450,0
V7,3,I0078,1200,1200,1450,0
V7,3,I0146,1900,0,1450,1
V7,3,I0314,3200,0,0,0
V7,3,I0327,3200,600,0,0
V7,4,I0112,0,0,0,1
V7,4,I0115,1600,0,0,1
V7,4,I0024,0,0,1450,0
V7,4,I0055,0,1200,1450,0
V7,4,I0064,3200,0,0,0
V7,4,I0338,1900,0,1450,0
V7,5,I0130,0,0,0,1
V7,5,I0136,1600,0,0,1
V7,5,I0041,0,0,1450,0
V7,5,I0172,0,1200,1450,0
V7,5,I0206,1200,1200,1450,0
V7,5,I0213,1900,0,1450,1
V7,5,I0350,3200,0,0,0
V7,5,I0408,3200,600,0,0
V7,6,I0145,0,0,0,1
V7,6,I0155,1600,0,0,1
V7,6,I0061,0,0,1450,0
V7,6,I0219,0,1200,1450,0
V7,6,I0239,1200,1200,1450,0
V7,6,I0255,1900,0,1450,1
V7,6,I0266,3200,0,0,3
V7,6,I0415,3200,1200,0,0
V7,6,I0443,3200,1200,445,0
V7,6,I0458,2400,1200,1450,0
V7,7,I0163,0,0,0,1
V7,7,I0178,1600,0,0,1
V7,7,I0084,0,0,1450,0
V7,7,I0444,0,1200,1450,0
V7,7,I0014,3200,0,0,0
V7,7,I0015,3200,570,0,0
V7,7,I0022,3200,1140,0,0
V7,7,I0135,3200,0,478,0
V7,8,I0179,0,0,0,1
V7,8,I0182,1600,0,0,1
V7,8,I0085,0,0,1450,0
V7,8,I0016,3200,0,0,3
V7,9,I0197,0,0,0,1
V7,9,I0225,1600,0,0,1
V7,9,I0154,0,0,1450,0
V7,9,I0054,3200,0,0,3
V7,9,I0151,1900,0,1450,0
V7,10,I0233,0,0,0,1
V7,10,I0240,1600,0,0,1
V7,10,I0165,0,0,1450,0
V7,10,I0060,3200,0,0,3
V7,11,I0247,0,0,0,1
V7,11,I0271,1600,0,0,1
V7,11,I0216,0,0,1450,0
V7,11,I0132,3200,0,0,3
V7,11,I0192,1900,0,1450,0
V7,12,I0286,0,0,0,1
V7,12,I0287,1600,0,0,1
V7,12,I0218,0,0,1450,0
V7,12,I0141,3200,0,0,3
V7,13,I0288,0,0,0,1
V7,13,I0323,1600,0,0,1
V7,13,I0231,0,0,1450,0
V7,13,I0297,3200,0,0,3
V7,13,I0199,1900,0,1450,0
V7,14,I0334,0,0,0,1
V7,14,I0335,1600,0,0,1
V7,14,I0242,0,0,1450,0
V7,14,I0309,3200,0,0,3
V7,14,I0263,1900,0,1450,0
V7,15,I0361,0,0,0,1
V7,15,I0367,1600,0,0,1
V7,15,I0258,0,0,1450,0
V7,15,I0348,3200,0,0,3
V7,16,I0372,0,0,0,1
V7,16,I0382,1600,0,0,1
V7,16,I0276,0,0,1450,0
V7,16,I0373,3200,0,0,3
V7,17,I0389,0,0,0,1
V7,17,I0392,1600,0,0,1
V7,17,I0278,0,0,1450,0
V7,17,I0407,3200,0,0,3
V7,17,I0312,1900,0,1450,0
V7,18,I0429,0,0,0,1
V7,18,I0452,1600,0,0,1
V7,18,I0279,0,0,1450,0
V7,18,I0417,3200,0,0,3
V7,18,I0405,1900,0,1450,0
V7,19,I0472,0,0,0,1
V7,19,I0481,1600,0,0,1
V7,19,I0313,0,0,1450,0
V7,19,I0454,3200,0,0,3
V7,19,I0435,1900,0,1450,0
V7,20,I0001,0,0,0,0
V7,20,I0004,2050,0,0,0
V7,20,I0342,0,0,1450,0
V7,20,I0345,1900,0,1450,0
V7,20,I0492,0,1550,0,2
V7,21,I0020,0,0,0,0
V7,21,I0028,2050,0,0,0
V7,21,I0357,0,0,1450,0
V7,21,I0364,1900,0,1450,0
V7,21,I0026,0,1550,0,0
V7,21,I0030,780,1550,0,0
V7,21,I0486,1560,1550,0,0
V7,21,I0488,2360,1550,0,0
V7,22,I0071,0,0,0,0
V7,22,I0076,2050,0,0,0
V7,22,I0409,0,0,1450,0
V7,22,I0430,1900,0,1450,0
V7,22,I0494,0,1550,0,2
V7,23,I0097,0,0,0,0
V7,23,I0134,2050,0,0,0
V7,23,I0431,0,0,1450,0
V7,23,I0441,1900,0,1450,0
V7,23,I0074,0,1550,0,0
V7,23,I0092,780,1550,0,0
V7,24,I0138,0,0,0,0
V7,24,I0144,2050,0,0,0
V7,24,I0476,0,0,1450,0
V7,24,I0477,1900,0,1450,0
V7,24,I0095,0,1550,0,0
V7,24,I0173,780,1550,0,0
V7,24,I0183,1560,1550,0,0
V7,25,I0215,0,0,0,0
V7,25,I0224,2050,0,0,0
V7,25,I0018,0,0,1450,0
V7,25,I0033,1600,0,1450,0
V7,25,I0198,0,1550,0,0
V7,25,I0203,780,1550,0,0
V7,25,I0227,1560,1550,0,0
V7,26,I0243,0,0,0,0
V7,26,I0246,2050,0,0,0
V7,26,I0110,0,0,1450,0
V7,26,I0268,1600,0,1450,0
V7,26,I0254,0,1550,0,0
V7,26,I0256,780,1550,0,0
V7,26,I0282,1560,1550,0,0
V7,26,I0289,2340,1550,0,0
V7,27,I0259,0,0,0,0
V7,27,I0274,2050,0,0,0
V7,27,I0294,0,0,1450,0
V7,27,I0394,1600,0,1450,0
V7,27,I0330,0,1550,0,0
V7,27,I0379,780,1550,0,0
V7,27,I0410,1560,1550,0,0
V7,27,I0427,2340,1550,0,0
V7,28,I0285,0,0,0,0
V7,28,I0296,2050,0,0,0
V7,28,I0480,0,0,1450,0
V7,28,I0439,0,1550,0,0
V7,28,I0461,780,1550,0,0
V7,28,I0290,1600,0,1450,0
V7,29,I0301,0,0,0,0
V7,29,I0304,2050,0,0,0
V7,29,I0464,0,1550,0,0
V7,29,I0469,780,1550,0,0
V7,29,I0485,1560,1550,0,0
V7,29,I0490,2340,1550,0,0
V7,29,I0375,0,0,1450,0
V7,30,I0311,0,0,0,0
V7,30,I0316,2050,0,0,0
V7,31,I0339,0,0,0,0
V7,31,I0341,2050,0,0,0
V7,32,I0358,0,0,0,0
V7,32,I0386,2050,0,0,0
V7,33,I0416,0,0,0,0
V7,33,I0425,2050,0,0,0
V7,34,I0428,0,0,0,0
V7,34,I0447,2050,0,0,0
V7,35,I0449,0,0,0,0
V7,35,I0471,2050,0,0,0
V7,36,I0482,0,0,0,0
V7,36,I0495,2050,0,0,0
V7,37,I0007,0,0,0,0
V7,37,I0021,1400,0,0,0
V7,37,I0023,2800,0,0,1
V7,37,I0159,0,1200,0,0
V7,38,I0043,0,0,0,0
V7,38,I0047,1400,0,0,0
V7,38,I0029,2800,0,0,1
V7,38,I0252,0,1200,0,0
V7,39,I0048,0,0,0,0
V7,39,I0049,1400,0,0,0
V7,39,I0034,2800,0,0,1
V7,39,I0308,0,1200,0,0
V7,40,I0068,0,0,0,0
V7,40,I0091,1400,0,0,0
V7,40,I0036,2800,0,0,1
V7,40,I0318,0,1200,0,0
V7,41,I0094,0,0,0,0
V7,41,I0101,1400,0,0,0
V7,41,I0072,2800,0,0,1
V7,41,I0344,0,1200,0,0
V7,42,I0108,0,0,0,0
V7,42,I0113,1400,0,0,0
V7,42,I0093,2800,0,0,1
V7,42,I0349,0,1200,0,0
V7,43,I0123,0,0,0,0
V7,43,I0177,1400,0,0,0
V7,43,I0099,2800,0,0,1
V7,43,I0371,0,1200,0,0
V7,44,I0181,0,0,0,0
V7,44,I0186,1400,0,0,0
V7,44,I0102,2800,0,0,1
V7,44,I0391,0,1200,0,0
V7,45,I0187,0,0,0,0
