type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V6,0,I0008,0,0,0,0
V6,0,I0022,0,1200,0,0
V6,0,I0083,2000,0,0,0
V6,0,I0125,2000,1200,0,0
V6,0,I0164,4000,0,0,0
V6,0,I0179,4000,1200,0,0
V6,1,I0201,0,0,0,0
V6,1,I0212,0,1200,0,0
V6,1,I0220,2000,0,0,0
V6,1,I0221,2000,1200,0,0
V6,1,I0255,4000,0,0,0
V6,1,I0260,4000,1200,0,0
V6,2,I0289,0,0,0,0
V6,2,I0357,0,1200,0,0
V6,2,I0375,2000,0,0,0
V6,2,I0454,2000,1200,0,0
V6,2,I0081,4000,0,0,0
V6,2,I0007,4000,1200,0,0
V6,2,I0003,4000,1200,1350,0
V6,2,I0023,4000,0,1490,0
V7,3,I0041,0,0,0,0
V7,3,I0038,1910,0,0,0
V7,4,I0048,0,0,0,0
V7,4,I0065,1910,0,0,0
V7,5,I0061,0,0,0,0
V7,5,I0084,1910,0,0,0
V7,6,I0066,0,0,0,0
V7,6,I0145,1910,0,0,0
V7,7,I0069,0,0,0,0
V7,7,I0163,1910,0,0,0
V7,8,I0071,0,0,0,0
V7,8,I0187,1910,0,0,0
V7,9,I0089,0,0,0,0
V7,9,I0195,1910,0,0,0
V7,10,I0120,0,0,0,0
V7,10,I0207,1910,0,0,0
V7,11,I0127,0,0,0,0
V7,11,I0234,1910,0,0,0
V7,12,I0133,0,0,0,0
V7,12,I0252,1910,0,0,0
V7,13,I0135,0,0,0,0
V7,13,I0264,1910,0,0,0
V7,14,I0153,0,0,0,0
V7,14,I0272,1910,0,0,0
V7,15,I0162,0,0,0,0
V7,15,I0274,1910,0,0,0
V7,16,I0211,0,0,0,0
V7,16,I0314,1910,0,0,0
V7,17,I0216,0,0,0,0
V7,17,I0317,1910,0,0,0
V7,18,I0248,0,0,0,0
V7,18,I0405,1910,0,0,0
V7,19,I0249,0,0,0,0
V7,19,I0412,1910,0,0,0
V7,20,I0253,0,0,0,0
V7,20,I0423,1910,0,0,0
V7,21,I0329,0,0,0,0
V7,21,I0426,1910,0,0,0
V7,22,I0335,0,0,0,0
V7,22,I0451,1910,0,0,0
V7,23,I0347,0,0,0,0
V7,23,I0468,1910,0,0,0
V7,24,I0363,0,0,0,0
V7,24,I0472,1910,0,0,0
V7,25,I0388,0,0,0,0
V7,25,I0002,1910,0,0,2
V7,26,I0400,0,0,0,0
V7,26,I0004,1910,0,0,2
V7,27,I0408,0,0,0,0
V7,27,I0017,1910,0,0,2
V7,28,I0417,0,0,0,0
V7,28,I0031,1910,0,0,2
V7,29,I0466,0,0,0,0
V7,29,I0091,1910,0,0,2
V7,30,I0005,0,0,0,0
V7,30,I0093,1800,0,0,2
V7,31,I0011,0,0,0,0
V7,31,I0102,1800,0,0,2
V7,32,I0046,0,0,0,0
V7,32,I0124,1800,0,0,2
V7,33,I0049,0,0,0,0
V7,33,I0128,1800,0,0,2
V7,34,I0121,0,0,0,0
V7,34,I0137,1800,0,0,2
V7,35,I0122,0,0,0,0
V7,35,I0174,1800,0,0,2
V7,36,I0170,0,0,0,0
V7,36,I0184,1800,0,0,2
V7,37,I0181,0,0,0,0
V7,37,I0188,1800,0,0,2
V7,38,I0270,0,0,0,0
V7,38,I0189,1800,0,0,2
V7,39,I0348,0,0,0,0
V7,39,I0217,1800,0,0,2
V7,40,I0453,0,0,0,0
V7,40,I0219,1800,0,0,2
V7,41,I0488,0,0,0,0
V7,41,I0223,1800,0,0,2
V7,42,I0261,0,0,0,0
V7,42,I0265,1800,0,0,0
V7,42,I0268,0,0,1020,0
V7,43,I0271,0,0,0,0
V7,43,I0278,1800,0,0,0
V7,43,I0280,0,0,1020,0
V7,44,I0291,0,0,0,0
V7,44,I0297,1800,0,0,0
V7,44,I0302,0,0,1020,0
V7,45,I0309,0,0,0,0
V7,45,I0316,1800,0,0,0
V7,45,I0326,0,0,1020,0
V7,46,I0332,0,0,0,0
V7,46,I0337,1800,0,0,0
V7,46,I0346,0,0,1020,0
V7,47,I0358,0,0,0,0
V7,47,I0365,1800,0,0,0
V7,47,I0367,0,0,1020,0
V7,48,I0372,0,0,0,0
V7,48,I0389,1800,0,0,0
V7,48,I0395,0,0,1020,0
V7,49,I0398,0,0,0,0
V7,49,I0404,1800,0,0,0
V7,49,I0444,0,0,1020,0
V7,50,I0497,0,0,0,0
V7,50,I0356,1800,0,0,0
V7,51,I0448,0,0,0,0
V7,51,I0047,1600,0,0,0
V7,52,I0470,0,0,0,0
V7,52,I0085,1600,0,0,0
V7,53,I0301,0,0,0,0
V7,53,I0021,1600,0,0,0
V7,54,I0310,0,0,0,0
V7,54,I0259,1600,0,0,0
V7,55,I0349,0,0,0,0
V7,55,I0401,1600,0,0,0
V7,56,I0447,0,0,0,0
V7,56,I0095,1600,0,0,0
V7,57,I0104,0,0,0,0
V7,57,I0098,1600,0,0,0
V7,58,I0175,0,0,0,0
V7,58,I0112,1600,0,0,0
V7,59,I0025,0,0,0,0
V7,59,I0053,1600,0,0,0
V7,60,I0154,0,0,0,0
V7,60,I0131,1600,0,0,0
V7,61,I0202,0,0,0,0
V7,61,I0209,1600,0,0,0
V7,62,I0237,0,0,0,0
V7,62,I0225,1600,0,0,0
V7,63,I0244,0,0,0,0
V7,63,I0306,1600,0,0,0
V7,64,I0269,0,0,0,0
V7,64,I0344,1600,0,0,0
V7,65,I0339,0,0,0,0
V7,65,I0416,1600,0,0,0
V7,66,I0341,0,0,0,0
V7,66,I0430,1600,0,0,0
V7,67,I0359,0,0,0,0
V7,67,I0477,1600,0,0,0
V7,68,I0360,0,0,0,0
V7,68,I0161,1600,0,0,0
V7,69,I0480,0,0,0,0
V7,69,I0199,1600,0,0,0
V7,70,I0493,0,0,0,0
V7,70,I0224,1600,0,0,0
V7,71,I0105,0,0,0,0
V7,71,I0226,1600,0,0,0
V7,72,I0276,0,0,0,0
V7,72,I0343,1600,0,0,0
V7,73,I0106,0,0,0,0
V7,73,I0277,1600,0,0,0
V7,74,I0136,0,0,0,0
V7,74,I0377,1600,0,0,0
V7,75,I0138,0,0,0,0
V7,75,I0079,1600,0,0,0
V7,76,I0173,0,0,0,0
V7,76,I0115,1600,0,0,0
V7,77,I0176,0,0,0,0
V7,77,I0168,1600,0,0,0
V7,78,I0177,0,0,0,0
V7,78,I0295,1600,0,0,0
V7,79,I0190,0,0,0,0
V7,79,I0333,1600,0,0,0
V7,80,I0229,0,0,0,0
V7,80,I0029,1600,0,0,0
V7,81,I0273,0,0,0,0
V7,81,I0030,1600,0,0,0
V7,82,I0292,0,0,0,0
V7,82,I0040,1600,0,0,0
V7,83,I0319,0,0,0,0
V7,83,I0143,1600,0,0,0
V7,84,I0321,0,0,0,0
V7,84,I0146,1600,0,0,0
V7,85,I0330,0,0,0,0
V7,85,I0178,1600,0,0,0
V7,86,I0384,0,0,0,0
V7,86,I0238,1600,0,0,0
V7,87,I0399,0,0,0,0
V7,87,I0323,1600,0,0,0
V7,88,I0437,0,0,0,0
V7,88,I0355,1600,0,0,0
V7,89,I0442,0,0,0,0
V7,89,I0381,1600,0,0,0
V7,90,I0445,0,0,0,0
V7,90,I0385,1600,0,0,0
V7,91,I0000,0,0,0,0
V7,91,I0010,1600,0,0,0
V7,92,I0020,0,0,0,0
V7,92,I0045,1600,0,0,0
V7,93,I0100,0,0,0,0
V7,93,I0101,1600,0,0,0
V7,94,I0183,0,0,0,0
V7,94,I0186,1600,0,0,0
V7,95,I0198,0,0,0,0
V7,95,I0194,1600,0,0,0
V7,96,I0242,0,0,0,0
V7,96,I0281,1600,0,0,0
V7,97,I0290,0,0,0,0
V7,97,I0298,1600,0,0,0
