type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V4,0,I0009,0,0,0,0
V4,0,I0014,950,0,0,0
V4,0,I0015,1900,0,0,0
V4,0,I0029,2850,0,0,0
V4,0,I0031,3800,0,0,0
V4,0,I0033,4750,0,0,0
V4,0,I0042,5700,0,0,0
V4,0,I0044,0,800,0,0
V4,0,I0045,950,800,0,0
V4,0,I0047,1900,800,0,0
V4,0,I0000,2850,800,0,0
V4,0,I0004,3800,800,0,0
V4,0,I0010,4750,800,0,0
V4,0,I0011,5700,800,0,0
V4,0,I0013,0,1600,0,0
V4,0,I0019,950,1600,0,0
V4,0,I0020,1900,1600,0,0
V4,0,I0021,2850,1600,0,0
V4,0,I0022,3800,1600,0,0
V4,0,I0025,4750,1600,0,0
V4,0,I0034,5700,1600,0,0
V4,0,I0035,0,0,1100,0
V4,0,I0038,950,0,1100,0
V4,0,I0040,1900,0,1100,0
V4,0,I0041,2850,0,1100,0
V4,0,I0001,0,0,2200,1
V4,0,I0005,1200,0,2200,1
V4,0,I0008,2400,0,2200,1
V4,0,I0012,6650,0,0,0
V4,0,I0016,6650,1200,0,0
V4,0,I0017,3800,0,1100,1
V4,0,I0027,5000,0,1100,1
V4,0,I0028,0,800,1100,0
V4,0,I0036,800,800,1100,0
V4,0,I0037,1600,800,1100,0
V4,0,I0043,2400,800,1100,0
V4,0,I0046,3200,800,1100,0
V4,0,I0048,4000,800,1100,0
V4,0,I0049,4800,800,1100,0
V4,0,I0002,0,800,1900,0
V4,0,I0003,800,800,1900,0
V4,0,I0006,1600,800,1900,0
V4,0,I0007,2400,800,1900,0
V4,0,I0018,5600,800,1100,0
V4,0,I0023,3200,800,1900,0
V4,0,I0024,3800,0,1900,1
V6,1,I0026,0,0,0,0
V6,1,I0030,800,0,0,0
V6,1,I0032,1600,0,0,0
V6,1,I0039,2400,0,0,0
