type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V7,0,I0061,0,0,0,0
V7,0,I0002,1500,0,0,0
V7,0,I0022,0,1000,0,0
V7,0,I0023,1500,1000,0,0
V7,0,I0030,3000,0,0,1
V7,0,I0038,0,0,800,0
V7,0,I0057,1500,0,800,0
V7,0,I0072,0,1000,800,0
V7,0,I0080,1500,1000,800,0
V7,0,I0082,3000,0,800,1
V7,1,I0535,0,0,0,0
V7,1,I0083,1500,0,0,0
V7,1,I0109,0,1000,0,0
V7,1,I0123,1500,1000,0,0
V7,1,I0126,3000,0,0,1
V7,1,I0134,0,0,800,0
V7,1,I0141,1500,0,800,0
V7,1,I0142,0,1000,800,0
V7,1,I0143,1500,1000,800,0
V7,1,I0152,3000,0,800,1
V7,2,I0649,0,0,0,0
V7,2,I0166,1500,0,0,0
V7,2,I0170,0,1000,0,0
V7,2,I0187,1500,1000,0,0
V7,2,I0191,3000,0,0,1
V7,2,I0193,0,0,800,0
V7,2,I0201,1500,0,800,0
V7,2,I0206,0,1000,800,0
V7,2,I0216,1500,1000,800,0
V7,2,I0219,3000,0,800,1
V7,3,I0587,0,0,0,0
V7,3,I0233,1500,0,0,0
V7,3,I0236,0,1000,0,0
V7,3,I0238,1500,1000,0,0
V7,3,I0240,3000,0,0,1
V7,3,I0268,0,0,800,0
V7,3,I0271,1500,0,800,0
V7,3,I0275,0,1000,800,0
V7,3,I0276,1500,1000,800,0
V7,3,I0282,3000,0,800,1
V7,4,I0758,0,0,0,0
V7,4,I0294,1500,0,0,0
V7,4,I0304,0,1000,0,0
V7,4,I0324,1500,1000,0,0
V7,4,I0351,3000,0,0,1
V7,4,I0362,0,0,800,0
V7,4,I0363,1500,0,800,0
V7,4,I0364,0,1000,800,0
V7,4,I0419,1500,1000,800,0
V7,4,I0438,3000,0,800,1
V7,5,I0367,0,0,0,0
V7,5,I0439,1500,0,0,0
V7,5,I0469,0,1000,0,0
V7,5,I0470,1500,1000,0,0
V7,5,I0477,3000,0,0,1
V7,5,I0487,0,0,800,0
V7,5,I0490,1500,0,800,0
V7,5,I0498,0,1000,800,0
V7,5,I0499,1500,1000,800,0
V7,5,I0512,3000,0,800,1
V7,6,I0436,0,0,0,0
V7,6,I0518,1500,0,0,0
V7,6,I0525,0,1000,0,0
V7,6,I0529,1500,1000,0,0
V7,6,I0537,3000,0,0,1
V7,6,I0540,0,0,800,0
V7,6,I0546,1500,0,800,0
V7,6,I0550,0,1000,800,0
V7,6,I0551,1500,1000,800,0
V7,6,I0552,3000,0,800,1
V7,7,I0528,0,0,0,0
V7,7,I0569,1500,0,0,0
V7,7,I0574,0,1000,0,0
V7,7,I0577,1500,1000,0,0
V7,7,I0579,3000,0,0,1
V7,7,I0589,0,0,800,0
V7,7,I0608,1500,0,800,0
V7,7,I0610,0,1000,800,0
V7,7,I0630,1500,1000,800,0
V7,7,I0633,3000,0,800,1
V7,8,I0788,0,0,0,0
V7,8,I0658,1500,0,0,0
V7,8,I0673,0,1000,0,0
V7,8,I0685,1500,1000,0,0
V7,8,I0694,3000,0,0,1
V7,8,I0700,0,0,800,0
V7,8,I0750,1500,0,800,0
V7,8,I0751,0,1000,800,0
V7,8,I0769,1500,1000,800,0
V7,9,I0095,0,0,0,0
V7,9,I0001,1500,0,0,0
V7,9,I0024,0,1000,0,0
V7,9,I0079,1500,800,0,0
V7,9,I0091,0,0,800,0
V7,9,I0092,1500,0,800,0
V7,9,I0097,0,800,800,0
V7,9,I0103,1500,800,800,0
V7,10,I0104,0,0,0,0
V7,10,I0117,1500,0,0,0
V7,10,I0120,0,1000,0,0
V7,10,I0136,1500,800,0,0
V7,10,I0174,0,0,800,0
V7,10,I0184,1500,0,800,0
V7,10,I0190,0,800,800,0
V7,10,I0200,1500,800,800,0
V7,11,I0401,0,0,0,0
V7,11,I0229,1500,0,0,0
V7,11,I0234,0,1000,0,0
V7,11,I0242,1500,800,0,0
V7,11,I0247,0,0,800,0
V7,11,I0250,1500,0,800,0
V7,11,I0292,0,800,800,0
V7,11,I0295,1500,800,800,0
V7,12,I0600,0,0,0,0
V7,12,I0305,1500,0,0,0
V7,12,I0311,0,1000,0,0
V7,12,I0313,1500,800,0,0
V7,12,I0315,0,0,800,0
V7,12,I0340,1500,0,800,0
V7,12,I0344,0,800,800,0
V7,12,I0348,1500,800,800,0
V7,13,I0392,0,0,0,0
V7,13,I0350,1500,0,0,0
V7,13,I0352,0,1000,0,0
V7,13,I0375,1500,800,0,0
V7,13,I0379,0,0,800,0
V7,13,I0403,1500,0,800,0
V7,13,I0425,0,800,800,0
V7,13,I0430,1500,800,800,0
V7,14,I0645,0,0,0,0
V7,14,I0433,1500,0,0,0
V7,14,I0434,0,1000,0,0
V7,14,I0441,1500,800,0,0
V7,14,I0445,0,0,800,0
V7,14,I0448,1500,0,800,0
V7,14,I0452,0,800,800,0
V7,14,I0464,1500,800,800,0
V7,15,I0207,0,0,0,0
V7,15,I0478,1500,0,0,0
V7,15,I0486,0,1000,0,0
V7,15,I0488,1500,800,0,0
V7,15,I0492,0,0,800,0
V7,15,I0497,1500,0,800,0
V7,15,I0538,0,800,800,0
V7,15,I0558,1500,800,800,0
V7,16,I0489,0,0,0,0
V7,16,I0560,1500,0,0,0
V7,16,I0567,0,1000,0,0
V7,16,I0568,1500,800,0,0
V7,16,I0581,0,0,800,0
V7,16,I0582,1500,0,800,0
V7,16,I0586,0,800,800,0
V7,16,I0596,1500,800,800,0
V7,17,I0663,0,0,0,0
V7,17,I0617,1500,0,0,0
V7,17,I0620,0,1000,0,0
V7,17,I0631,1500,800,0,0
V7,17,I0638,0,0,800,0
V7,17,I0641,1500,0,800,0
V7,17,I0646,0,800,800,0
V7,17,I0660,1500,800,800,0
V7,18,I0210,0,0,0,0
V7,18,I0667,1500,0,0,0
V7,18,I0696,0,1000,0,0
V7,18,I0702,1500,800,0,0
V7,18,I0709,0,0,800,0
V7,18,I0710,1500,0,800,0
V7,18,I0717,0,800,800,0
V7,18,I0749,1500,800,800,0
V7,19,I0698,0,0,0,0
V7,19,I0767,1500,0,0,0
V7,19,I0771,0,1000,0,0
V7,19,I0776,1500,800,0,0
V7,19,I0785,0,0,800,0
V7,19,I0790,1500,0,800,0
V7,19,I0793,0,800,800,0
V7,20,I0397,0,0,0,0
V7,21,I0554,0,0,0,0
V7,22,I0533,0,0,0,0
V7,23,I0626,0,0,0,0
V7,24,I0773,0,0,0,0
V7,25,I0176,0,0,0,0
V7,26,I0571,0,0,0,0
V7,27,I0450,0,0,0,0
V7,28,I0514,0,0,0,0
V7,29,I0729,0,0,0,0
V7,30,I0737,0,0,0,0
V7,31,I0468,0,0,0,0
V7,32,I0440,0,0,0,0
V7,33,I0006,0,0,0,0
V7,34,I0496,0,0,0,0
V7,35,I0280,0,0,0,0
V7,36,I0636,0,0,0,0
V7,37,I0051,0,0,0,0
V7,38,I0353,0,0,0,0
V7,39,I0321,0,0,0,0
V7,40,I0664,0,0,0,0
V7,41,I0429,0,0,0,0
V7,42,I0706,0,0,0,0
V7,43,I0094,0,0,0,0
V7,44,I0727,0,0,0,0
V7,45,I0359,0,0,0,0
V7,46,I0583,0,0,0,0
V7,47,I0640,0,0,0,0
V7,48,I0461,0,0,0,0
V7,49,I0198,0,0,0,0
