type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V7,0,I0415,0,0,0,0
V7,0,I0000,1500,0,0,0
V7,0,I0001,3000,0,0,1
V7,0,I0008,0,1000,0,0
V7,0,I0010,1500,1000,0,0
V7,0,I0016,0,0,800,0
V7,0,I0017,1500,0,800,0
V7,0,I0020,3000,0,800,1
V7,0,I0023,0,1000,800,0
V7,0,I0025,1500,1000,800,0
V7,1,I0512,0,0,0,0
V7,1,I0032,1500,0,0,0
V7,1,I0033,3000,0,0,1
V7,1,I0036,0,1000,0,0
V7,1,I0037,1500,1000,0,0
V7,1,I0038,0,0,800,0
V7,1,I0041,1500,0,800,0
V7,1,I0054,3000,0,800,1
V7,1,I0063,0,1000,800,0
V7,1,I0065,1500,1000,800,0
V7,2,I0520,0,0,0,0
V7,2,I0068,1500,0,0,0
V7,2,I0076,3000,0,0,1
V7,2,I0088,0,1000,0,0
V7,2,I0097,1500,1000,0,0
V7,2,I0101,0,0,800,0
V7,2,I0109,1500,0,800,0
V7,2,I0114,3000,0,800,1
V7,2,I0116,0,1000,800,0
V7,2,I0123,1500,1000,800,0
V7,3,I0734,0,0,0,0
V7,3,I0147,1500,0,0,0
V7,3,I0152,3000,0,0,1
V7,3,I0159,0,1000,0,0
V7,3,I0162,1500,1000,0,0
V7,3,I0178,0,0,800,0
V7,3,I0181,1500,0,800,0
V7,3,I0183,3000,0,800,1
V7,3,I0190,0,1000,800,0
V7,3,I0191,1500,1000,800,0
V7,4,I0829,0,0,0,0
V7,4,I0194,1500,0,0,0
V7,4,I0207,3000,0,0,1
V7,4,I0211,0,1000,0,0
V7,4,I0215,1500,1000,0,0
V7,4,I0216,0,0,800,0
V7,4,I0221,1500,0,800,0
V7,4,I0241,3000,0,800,1
V7,4,I0244,0,1000,800,0
V7,4,I0252,1500,1000,800,0
V7,5,I0323,0,0,0,0
V7,5,I0264,1500,0,0,0
V7,5,I0266,3000,0,0,1
V7,5,I0270,0,1000,0,0
V7,5,I0276,1500,1000,0,0
V7,5,I0277,0,0,800,0
V7,5,I0281,1500,0,800,0
V7,5,I0291,3000,0,800,1
V7,5,I0293,0,1000,800,0
V7,5,I0301,1500,1000,800,0
