type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V7,0,I0002,0,0,0,0
V7,0,I0004,1500,0,0,0
V7,0,I0006,0,1000,0,0
V7,0,I0010,1500,1000,0,0
V7,0,I0044,3000,0,0,1
V7,0,I0311,0,0,615,0
V7,0,I0315,1500,0,615,0
V7,0,I0346,0,1000,615,0
V7,0,I0456,1500,1000,615,0
V7,0,I0466,3000,0,615,1
V7,0,I0628,0,0,1230,0
V7,0,I0636,1500,0,1230,0
V7,0,I0724,0,1000,1230,0
V7,0,I0826,1500,1000,1230,0
V7,0,I0862,3000,0,1230,1
V7,0,I0023,3000,1500,0,5
V7,0,I0124,3000,1500,1500,4
V7,1,I0019,0,0,0,0
V7,1,I0022,1500,0,0,0
V7,1,I0027,0,1000,0,0
V7,1,I0056,1500,1000,0,0
V7,1,I0894,3000,0,0,1
V7,1,I0912,0,0,615,0
V7,1,I0939,1500,0,615,0
V7,1,I1001,0,1000,615,0
V7,1,I1036,1500,1000,615,0
V7,1,I1111,3000,0,615,1
V7,1,I1122,0,0,1230,0
V7,1,I1165,1500,0,1230,0
V7,1,I1193,0,1000,1230,0
V7,1,I1593,1500,1000,1230,0
V7,1,I1665,3000,0,1230,1
V7,1,I0068,3000,1500,0,5
V7,1,I0165,3000,1500,1500,4
V6,2,I0039,0,0,0,0
V6,2,I0042,1500,0,0,0
V6,2,I0055,3000,0,0,0
V6,2,I0060,4500,0,0,0
V6,2,I0078,0,1000,0,0
V6,2,I0082,1500,1000,0,0
V6,2,I0084,3000,1000,0,0
V6,2,I0102,4500,1000,0,0
V6,2,I1693,0,0,615,0
V6,2,I1770,1500,0,615,0
V6,2,I1779,3000,0,615,0
V6,2,I0069,6000,0,0,1
V6,2,I0137,4500,0,615,0
V6,2,I0147,6000,0,615,1
V6,2,I0245,6000,1500,0,5
V6,2,I0463,0,1000,615,0
V6,2,I0549,1200,1000,615,0
V6,2,I0569,2400,1000,615,0
V6,2,I0591,6000,0,1230,1
V6,2,I0598,3600,1000,615,0
V6,2,I0612,4800,1000,615,0
V6,2,I0735,0,0,1230,0
V6,2,I0966,0,800,1230,0
V6,2,I1013,0,0,1845,0
V6,2,I1079,1500,0,1230,0
V6,2,I1157,2700,0,1230,0
V6,2,I1217,4200,0,1230,0
V6,2,I1220,1200,0,1845,0
V6,2,I1254,1200,1000,1230,0
V6,2,I1330,2700,0,1845,0
V6,2,I1362,4200,0,1845,0
V6,2,I1378,2700,800,1230,0
V6,2,I1381,4800,1000,1230,0
V6,2,I1393,2700,800,1845,0
V6,2,I1413,6000,0,1845,1
V6,2,I1500,0,1000,1845,0
V6,2,I1535,4800,1000,1845,0
V6,2,I0087,6000,1500,1500,0
V6,2,I0498,4200,1000,1230,1
V6,2,I0510,4200,1000,1845,1
V6,2,I0594,1500,1000,1845,3
V6,3,I0097,0,0,0,0
V6,3,I0101,1500,0,0,0
V6,3,I0103,3000,0,0,0
V6,3,I0104,4500,0,0,0
V6,3,I0110,0,1000,0,0
V6,3,I0121,1500,1000,0,0
V6,3,I0285,3000,1000,0,0
V6,3,I1573,6000,0,0,1
V6,3,I1590,4500,1000,0,0
V6,3,I1597,0,0,615,0
V6,3,I1604,1500,0,615,0
V6,3,I1616,3000,0,615,0
V6,3,I1631,4500,0,615,0
V6,3,I1726,0,800,615,0
V6,3,I1772,6000,0,615,1
V6,3,I1782,1200,800,615,0
V6,3,I1852,2700,800,615,0
V6,3,I1970,4200,800,615,0
V6,3,I0003,0,0,1230,0
V6,3,I0025,1200,0,1230,0
V6,3,I0127,2400,0,1230,0
V6,3,I0237,3600,0,1230,0
V6,3,I0343,4800,0,1230,0
V6,3,I0480,6000,0,1230,1
V6,3,I0483,0,800,1230,0
V6,3,I0504,1200,800,1230,0
V6,3,I0597,2400,800,1230,0
V6,3,I0736,3600,800,1230,0
V6,3,I0821,0,0,1845,0
V6,3,I0929,1200,0,1845,0
V6,3,I0962,2400,0,1845,0
V6,3,I1133,3600,0,1845,0
V6,3,I1488,4800,0,1845,0
V6,3,I1562,6000,0,1845,1
V6,3,I1639,0,800,1845,0
V6,3,I1645,1200,800,1845,0
V6,3,I1773,2400,800,1845,0
V6,3,I1840,3600,800,1845,0
V6,3,I0611,4500,1800,0,0
V6,3,I0851,5300,1800,0,0
V6,3,I0875,4800,800,1230,2
V6,3,I0890,4800,800,1830,2
V6,3,I0901,6100,1800,0,4
V6,3,I0908,5300,1800,615,0
V6,3,I1068,4500,1800,615,0
V6,3,I1081,6100,1800,800,4
V6,3,I1169,5300,1800,1230,0
V6,3,I1190,4500,1800,1230,0
V6,3,I1229,6100,1800,1600,4
V6,3,I1240,5300,1800,1845,0
V6,3,I1402,4500,1800,1845,0
V7,4,I0135,0,0,0,0
V7,4,I0150,1500,0,0,0
V7,4,I0215,0,1000,0,0
V7,4,I1873,1500,1000,0,1
V7,4,I1891,2300,1000,0,1
V7,4,I1972,3100,1000,0,1
V7,4,I1977,0,0,615,0
V7,4,I0007,3000,0,0,0
V7,4,I0251,1200,0,615,0
V7,4,I0294,2200,0,615,0
V7,4,I0326,0,800,615,0
V7,4,I0553,1000,800,615,0
V7,4,I0622,2000,800,615,0
V7,4,I0754,0,0,1230,0
V7,4,I0764,1000,0,1230,0
V7,4,I0828,2000,0,1230,0
V7,4,I0960,0,800,1230,0
V7,4,I0981,1000,800,1230,0
V7,4,I1011,2000,800,1230,0
V7,4,I1445,2000,1600,615,0
V7,4,I1549,2800,1600,615,0
V7,4,I1724,2000,1600,1230,0
V7,4,I1746,2800,1600,1230,0
V7,4,I1813,3200,0,615,2
V7,4,I1833,3200,0,1215,2
V7,4,I1915,3100,1000,615,0
V7,4,I1916,3100,1000,1230,0
V7,5,I0173,0,0,0,0
V7,5,I0176,1500,0,0,0
V7,5,I0179,0,1000,0,0
V7,5,I1066,3000,0,0,0
V7,5,I1298,1500,1000,0,0
V7,5,I1466,0,0,615,0
V7,5,I1571,1000,0,615,0
V7,5,I1584,2000,0,615,0
V7,5,I1663,3000,0,615,0
V7,5,I1790,0,800,615,0
V7,5,I1858,1000,800,615,0
V7,5,I1876,0,0,1230,0
V7,5,I1885,1000,0,1230,0
V7,5,I1925,2000,0,1230,0
V7,5,I1924,3000,0,1230,2
V7,5,I0000,2500,1000,0,1
V7,5,I0076,3000,800,0,0
V7,5,I0130,3000,1300,0,0
V7,5,I0267,2000,800,615,0
V7,5,I0308,2800,800,615,0
V7,5,I0410,0,800,1230,0
V7,5,I0495,800,800,1230,0
V7,5,I0507,1600,800,1230,0
V7,5,I0525,2000,1300,615,0
V7,5,I0588,2800,1300,615,0
V7,5,I0751,2400,800,1230,0
V7,5,I0785,2000,1300,1230,0
V7,5,I0864,2800,1300,1230,0
V7,6,I0185,0,0,0,0
V7,6,I0193,1500,0,0,0
