type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V5,0,I0006,0,0,0,3
V5,0,I0011,2500,0,0,3
V5,0,I0012,5000,0,0,3
V5,0,I0020,0,1200,0,3
V5,0,I0023,2500,1200,0,3
V5,0,I0029,5000,1200,0,3
V5,0,I0032,0,0,1200,3
V5,0,I0044,2500,0,1200,3
V5,0,I0045,5000,0,1200,3
V5,0,I0046,0,1200,1200,3
V5,0,I0050,2500,1200,1200,3
V5,0,I0053,5000,1200,1200,3
V5,0,I0005,0,0,2400,0
V5,0,I0014,800,0,2400,0
V5,0,I0025,1600,0,2400,0
V5,0,I0049,2400,0,2400,0
V5,0,I0064,3200,0,2400,0
V5,0,I0068,4000,0,2400,0
V5,0,I0070,4800,0,2400,0
V5,0,I0074,5600,0,2400,0
V5,0,I0077,6400,0,2400,0
V5,0,I0081,0,1200,2400,0
V5,0,I0104,800,1200,2400,0
V5,0,I0105,1600,1200,2400,0
V5,0,I0108,2400,1200,2400,0
V5,0,I0122,3200,1200,2400,0
V5,0,I0131,4000,1200,2400,0
V5,0,I0134,4800,1200,2400,0
V5,0,I0151,5600,1200,2400,0
V5,0,I0158,6400,1200,2400,0
V5,0,I0163,0,0,2600,0
V5,0,I0184,0,0,2800,0
V5,0,I0192,800,0,2600,0
V5,0,I0195,800,0,2800,0
V5,0,I0199,1600,0,2600,0
V5,0,I0204,1600,0,2800,0
V5,0,I0209,2400,0,2600,0
V5,0,I0223,2400,0,2800,0
V5,0,I0231,3200,0,2600,0
V5,0,I0243,3200,0,2800,0
V5,0,I0251,4000,0,2600,0
V5,0,I0259,4000,0,2800,0
V5,0,I0260,4800,0,2600,0
V5,0,I0272,4800,0,2800,0
V5,0,I0288,5600,0,2600,0
V5,0,I0302,5600,0,2800,0
V5,0,I0305,6400,0,2600,0
V5,0,I0311,6400,0,2800,0
V5,0,I0312,0,1200,2600,0
V5,0,I0324,0,1200,2800,0
V5,0,I0326,800,1200,2600,0
V5,0,I0333,800,1200,2800,0
V5,0,I0334,1600,1200,2600,0
V5,0,I0336,1600,1200,2800,0
V5,0,I0340,2400,1200,2600,0
V5,0,I0355,2400,1200,2800,0
V5,0,I0364,3200,1200,2600,0
V5,0,I0380,3200,1200,2800,0
V5,0,I0385,4000,1200,2600,0
V5,0,I0388,4000,1200,2800,0
V5,0,I0391,4800,1200,2600,0
V5,0,I0398,4800,1200,2800,0
V5,0,I0400,5600,1200,2600,0
V5,0,I0404,5600,1200,2800,0
V5,0,I0406,6400,1200,2600,0
V5,0,I0415,6400,1200,2800,0
V5,1,I0057,0,0,0,3
V5,1,I0082,2500,0,0,3
V5,1,I0091,5000,0,0,3
V5,1,I0097,0,1200,0,3
V5,1,I0113,2500,1200,0,3
V5,1,I0114,5000,1200,0,3
V5,1,I0125,0,0,1200,3
V5,1,I0130,2500,0,1200,3
V5,1,I0135,5000,0,1200,3
V5,1,I0139,0,1200,1200,3
V5,1,I0165,2500,1200,1200,3
V5,1,I0193,5000,1200,1200,3
V5,1,I0420,0,0,2400,0
V5,1,I0428,800,0,2400,0
V5,1,I0433,1600,0,2400,0
V5,1,I0437,2400,0,2400,0
V5,1,I0457,3200,0,2400,0
V5,1,I0476,4000,0,2400,0
V5,1,I0478,4800,0,2400,0
V5,1,I0484,5600,0,2400,0
V5,1,I0488,6400,0,2400,0
V5,1,I0495,0,1200,2400,0
V5,1,I0503,800,1200,2400,0
V5,1,I0513,1600,1200,2400,0
V5,1,I0518,2400,1200,2400,0
V5,1,I0520,3200,1200,2400,0
V5,1,I0527,4000,1200,2400,0
V5,1,I0530,4800,1200,2400,0
V5,1,I0548,5600,1200,2400,0
V5,1,I0549,6400,1200,2400,0
V5,1,I0552,0,0,2600,0
V5,1,I0566,0,0,2800,0
V5,1,I0567,800,0,2600,0
V5,1,I0581,800,0,2800,0
V5,1,I0584,1600,0,2600,0
V5,1,I0588,1600,0,2800,0
V5,1,I0618,2400,0,2600,0
V5,1,I0634,2400,0,2800,0
V5,1,I0659,3200,0,2600,0
V5,1,I0669,3200,0,2800,0
V5,1,I0671,4000,0,2600,0
V5,1,I0679,4000,0,2800,0
V5,1,I0692,4800,0,2600,0
V5,1,I0711,4800,0,2800,0
V5,1,I0712,5600,0,2600,0
V5,1,I0715,5600,0,2800,0
V5,1,I0716,6400,0,2600,0
V5,1,I0724,6400,0,2800,0
V5,1,I0729,0,1200,2600,0
V5,1,I0745,0,1200,2800,0
V5,1,I0747,800,1200,2600,0
V5,1,I0022,800,1200,2800,0
V5,1,I0508,1600,1200,2600,0
V5,2,I0169,0,0,0,3
V5,2,I0186,2500,0,0,3
V5,2,I0189,5000,0,0,3
V5,2,I0217,0,1200,0,3
V5,2,I0218,2500,1200,0,3
V5,2,I0219,5000,1200,0,3
V5,2,I0225,0,0,1200,3
V5,2,I0229,2500,0,1200,3
V5,2,I0239,5000,0,1200,3
V5,2,I0240,0,1200,1200,3
V5,2,I0275,2500,1200,1200,3
V5,2,I0282,5000,1200,1200,3
V5,2,I0753,0,0,2400,0
V5,2,I0757,800,0,2400,0
V5,2,I0764,1600,0,2400,0
V5,2,I0770,2400,0,2400,0
V5,2,I0785,3200,0,2400,0
V5,2,I0793,4000,0,2400,0
V5,2,I0009,4800,0,2400,0
V5,2,I0013,5600,0,2400,0
V5,2,I0038,6400,0,2400,0
V5,2,I0040,0,1200,2400,0
V5,2,I0042,800,1200,2400,0
V5,2,I0048,1600,1200,2400,0
V5,2,I0058,2400,1200,2400,0
V5,2,I0062,3200,1200,2400,0
V5,2,I0065,4000,1200,2400,0
V5,2,I0066,4800,800,2400,0
V5,2,I0084,5600,800,2400,0
V5,2,I0085,6400,800,2400,0
V5,2,I0087,0,0,2600,0
V5,2,I0088,0,0,2800,0
V5,2,I0106,800,0,2600,0
V5,2,I0119,800,0,2800,0
V5,2,I0127,1600,0,2600,0
V5,2,I0136,1600,0,2800,0
V5,2,I0140,2400,0,2600,0
V5,2,I0150,2400,0,2800,0
V5,2,I0164,3200,0,2600,0
V5,2,I0167,3200,0,2800,0
V5,2,I0170,4000,0,2600,0
V5,2,I0188,4000,0,2800,0
V5,2,I0191,4800,0,2600,0
V5,2,I0198,4800,0,2800,0
V5,2,I0207,5600,0,2600,0
V5,2,I0215,5600,0,2800,0
V5,2,I0222,6400,0,2600,0
V5,2,I0228,6400,0,2800,0
V5,2,I0232,0,800,2600,0
V5,2,I0233,0,800,2800,0
V5,2,I0258,800,800,2600,0
V5,2,I0264,800,800,2800,0
V5,2,I0268,1600,800,2600,0
V5,2,I0291,1600,800,2800,0
V5,2,I0297,2400,800,2600,0
V5,2,I0306,2400,800,2800,0
V5,2,I0307,3200,800,2600,0
V5,2,I0310,3200,800,2800,0
V5,2,I0317,4000,800,2600,0
V5,2,I0339,4000,800,2800,0
V5,2,I0344,4800,800,2600,0
V5,2,I0348,4800,800,2800,0
V5,2,I0360,5600,800,2600,0
V5,2,I0378,5600,800,2800,0
V5,2,I0381,6400,800,2600,0
V5,2,I0389,6400,800,2800,0
V5,2,I0405,4800,1600,2400,0
V5,2,I0431,5600,1600,2400,0
V5,2,I0446,6400,1600,2400,0
V5,2,I0451,4800,1600,2600,0
V5,2,I0462,4800,1600,2800,0
V5,2,I0471,5600,1600,2600,0
V5,2,I0472,5600,1600,2800,0
V5,2,I0510,6400,1600,2600,0
V5,3,I0294,0,0,0,3
V5,3,I0295,2500,0,0,3
V5,3,I0318,5000,0,0,3
V5,3,I0320,0,1200,0,3
V5,3,I0358,2500,1200,0,3
V5,3,I0359,5000,1200,0,3
V5,3,I0363,0,0,1200,3
V5,3,I0366,2500,0,1200,3
V5,3,I0379,5000,0,1200,3
V5,3,I0394,0,1200,1200,3
V5,3,I0402,2500,1200,1200,3
V5,3,I0429,5000,1200,1200,3
V5,3,I0487,0,0,2400,0
V5,3,I0512,800,0,2400,0
V5,3,I0516,1600,0,2400,0
V5,3,I0528,2400,0,2400,0
V5,3,I0533,3200,0,2400,0
V5,3,I0535,4000,0,2400,0
V5,3,I0550,4800,0,2400,0
V5,3,I0571,5600,0,2400,0
V5,3,I0579,6400,0,2400,0
V5,3,I0582,0,800,2400,0
V5,3,I0609,800,800,2400,0
V5,3,I0611,1600,800,2400,0
V5,3,I0612,2400,800,2400,0
V5,3,I0614,3200,800,2400,0
V5,3,I0626,4000,800,2400,0
V5,3,I0646,4800,800,2400,0
V5,3,I0647,5600,800,2400,0
V5,3,I0652,6400,800,2400,0
V5,3,I0656,0,1600,2400,0
V5,3,I0657,800,1600,2400,0
V5,3,I0660,1600,1600,2400,0
V5,3,I0662,2400,1600,2400,0
V5,3,I0668,3200,1600,2400,0
V5,3,I0670,4000,1600,2400,0
V5,3,I0673,4800,1600,2400,0
V5,3,I0683,5600,1600,2400,0
V5,3,I0686,6400,1600,2400,0
V5,3,I0689,0,0,2600,0
V5,3,I0690,0,0,2800,0
V5,3,I0693,800,0,2600,0
V5,3,I0698,800,0,2800,0
V5,3,I0710,1600,0,2600,0
V5,3,I0720,1600,0,2800,0
V5,3,I0725,2400,0,2600,0
V5,3,I0727,2400,0,2800,0
V5,3,I0728,3200,0,2600,0
V5,3,I0731,3200,0,2800,0
V5,3,I0736,4000,0,2600,0
V5,3,I0743,4000,0,2800,0
V5,3,I0744,4800,0,2600,0
V5,3,I0746,4800,0,2800,0
V5,3,I0763,5600,0,2600,0
V5,3,I0765,5600,0,2800,0
V5,3,I0773,6400,0,2600,0
V5,3,I0791,6400,0,2800,0
V5,3,I0015,0,800,2600,0
V5,3,I0018,0,800,2800,0
V5,3,I0026,600,800,2600,0
V5,3,I0036,600,800,2800,0
V5,3,I0041,1200,800,2600,0
V5,3,I0043,1200,800,2800,0
V5,3,I0094,1800,800,2600,0
V5,4,I0447,0,0,0,3
V5,4,I0461,2500,0,0,3
V5,4,I0467,5000,0,0,3
V5,4,I0477,0,1200,0,3
V5,4,I0482,2500,1200,0,3
V5,4,I0485,5000,1200,0,3
V5,4,I0522,0,0,1200,3
V5,4,I0526,2500,0,1200,3
V5,4,I0534,5000,0,1200,3
V5,4,I0553,0,1200,1200,3
V5,4,I0561,2500,1200,1200,3
V5,4,I0562,5000,1200,1200,3
V5,4,I0051,0,0,2400,0
V5,4,I0052,600,0,2400,0
V5,4,I0054,1200,0,2400,0
V5,4,I0056,1800,0,2400,0
V5,4,I0059,2400,0,2400,0
V5,4,I0069,3000,0,2400,0
V5,4,I0071,3600,0,2400,0
V5,4,I0076,4200,0,2400,0
V5,4,I0078,4800,0,2400,0
V5,4,I0083,5400,0,2400,0
V5,4,I0090,6000,0,2400,0
V5,4,I0093,6600,0,2400,0
V5,4,I0121,0,600,2400,0
V5,4,I0123,600,600,2400,0
V5,4,I0132,1200,600,2400,0
V5,4,I0161,1800,600,2400,0
V5,4,I0168,2400,600,2400,0
V5,4,I0177,3000,600,2400,0
V5,4,I0194,3600,600,2400,0
V5,4,I0201,4200,600,2400,0
V5,4,I0208,4800,600,2400,0
V5,4,I0210,5400,600,2400,0
V5,4,I0211,6000,600,2400,0
V5,4,I0214,6600,600,2400,0
V5,4,I0236,0,1200,2400,0
V5,4,I0248,600,1200,2400,0
V5,4,I0253,1200,1200,2400,0
V5,4,I0267,1800,1200,2400,0
V5,4,I0270,2400,1200,2400,0
V5,4,I0274,3000,1200,2400,0
V5,4,I0283,3600,1200,2400,0
V5,4,I0287,4200,1200,2400,0
V5,4,I0292,4800,1200,2400,0
V5,4,I0296,5400,1200,2400,0
V5,4,I0300,6000,1200,2400,0
V5,4,I0301,6600,1200,2400,0
V5,4,I0315,0,1800,2400,0
V5,4,I0328,600,1800,2400,0
V5,4,I0335,1200,1800,2400,0
V5,4,I0367,1800,1800,2400,0
V5,4,I0382,2400,1800,2400,0
V5,4,I0403,3000,1800,2400,0
V5,4,I0409,3600,1800,2400,0
V5,4,I0414,4200,1800,2400,0
V5,4,I0419,4800,1800,2400,0
V5,4,I0421,5400,1800,2400,0
V5,4,I0425,6000,1800,2400,0
V5,4,I0439,6600,1800,2400,0
V5,4,I0442,0,0,2600,0
V5,4,I0454,0,0,2800,0
V5,4,I0466,600,0,2600,0
V5,4,I0496,600,0,2800,0
V5,4,I0497,1200,0,2600,0
V5,4,I0499,1200,0,2800,0
V5,4,I0500,1800,0,2600,0
V5,4,I0501,1800,0,2800,0
V5,4,I0514,2400,0,2600,0
V5,4,I0536,2400,0,2800,0
V5,4,I0537,3000,0,2600,0
V5,4,I0542,3000,0,2800,0
V5,4,I0544,3600,0,2600,0
V5,4,I0570,3600,0,2800,0
V5,4,I0585,4200,0,2600,0
V5,4,I0595,4200,0,2800,0
V5,4,I0600,4800,0,2600,0
V5,4,I0605,4800,0,2800,0
V5,4,I0623,5400,0,2600,0
V5,4,I0624,5400,0,2800,0
V5,4,I0633,6000,0,2600,0
V5,4,I0636,6000,0,2800,0
V5,4,I0648,6600,0,2600,0
V5,4,I0649,6600,0,2800,0
V5,4,I0661,0,600,2600,0
V5,4,I0680,0,600,2800,0
V5,4,I0684,600,600,2600,0
V5,4,I0685,600,600,2800,0
V5,4,I0705,1200,600,2600,0
V5,4,I0707,1200,600,2800,0
V5,4,I0719,1800,600,2600,0
V5,4,I0721,1800,600,2800,0
V5,4,I0726,2400,600,2600,0
V5,4,I0754,2400,600,2800,0
V5,4,I0758,3000,600,2600,0
V5,4,I0781,3000,600,2800,0
V5,4,I0035,0,1200,2600,0
V5,5,I0563,0,0,0,3
V5,5,I0565,2500,0,0,3
V5,5,I0598,5000,0,0,3
V5,5,I0606,0,1200,0,3
V5,5,I0607,2500,1200,0,3
V5,5,I0610,5000,1200,0,3
V5,5,I0621,0,0,1200,3
V5,5,I0629,2500,0,1200,3
V5,5,I0638,5000,0,1200,3
V5,5,I0653,0,1200,1200,3
V5,5,I0663,2500,1200,1200,3
V5,5,I0675,5000,1200,1200,3
V5,5,I0794,0,0,2400,0
V5,5,I0798,600,0,2400,0
V5,5,I0799,1200,0,2400,0
V5,5,I0007,0,600,2400,0
V5,5,I0019,0,600,2500,0
V5,5,I0055,0,0,2600,0
V5,5,I0067,0,0,2700,0
V5,5,I0099,0,0,2800,0
V5,5,I0101,0,0,2900,0
V5,5,I0107,1800,0,2400,0
V5,5,I0109,3000,0,2400,0
V5,5,I0112,4200,0,2400,0
V5,5,I0115,5400,0,2400,0
V5,5,I0133,1800,0,2500,0
V5,5,I0141,3000,0,2500,0
V5,5,I0144,4200,0,2500,0
V5,5,I0149,5400,0,2500,0
V5,5,I0152,1800,1200,2400,0
V5,5,I0153,3000,1200,2400,0
V5,5,I0157,4200,1200,2400,0
V5,5,I0173,5400,1200,2400,0
V5,5,I0175,1800,1200,2500,0
V5,5,I0178,3000,1200,2500,0
V5,5,I0180,4200,1200,2500,0
V5,5,I0200,5400,1200,2500,0
V5,5,I0206,1800,0,2600,0
V5,5,I0213,3000,0,2600,0
V5,5,I0216,4200,0,2600,0
V5,5,I0226,5400,0,2600,0
V5,5,I0252,1800,1200,2600,0
V5,5,I0257,3000,1200,2600,0
V5,5,I0269,4200,1200,2600,0
V5,5,I0277,5400,1200,2600,0
V5,5,I0278,1800,0,2700,0
V5,5,I0279,3000,0,2700,0
V5,5,I0284,4200,0,2700,0
V5,5,I0286,5400,0,2700,0
V5,5,I0298,1800,1200,2700,0
V5,5,I0309,3000,1200,2700,0
V5,5,I0316,4200,1200,2700,0
V5,5,I0331,5400,1200,2700,0
V5,5,I0353,1800,0,2800,0
